username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;retweetornot
SinaiGail9;2018-06-05 19:58;0;1;"Liberals especially gifted talented artists & techies can #WalkAway from false sense of security from progressive socialist employers & friends #MAGA Get onboard #TrumpTrain #KAG2020 https:// twitter.com/usminority/sta tus/1003473255762726912 …";;;#WalkAway #MAGA #TrumpTrain #KAG2020;"1004150558813556737";https://twitter.com/SinaiGail9/status/1004150558813556737;1
LynnWattier;2018-06-05 19:28;0;3;"@usminority I AGREE 100%!! Watch my friends video that’s going viral about #WalkAway from the left!!";;@usminority;#WalkAway;"1004142995980079104";https://twitter.com/LynnWattier/status/1004142995980079104;0
blogho;2018-06-05 18:11;1;2;"CJ, I don't care what "color" you are, we all bleed red, white and blue. Keep on keeping on! #WalkAway rising ! https:// twitter.com/thecjpearson/s tatus/1004115104659537922 …";;;#WalkAway;"1004123534980009984";https://twitter.com/blogho/status/1004123534980009984;1
1citizenpundit;2018-06-05 15:57;1;3;"A must watch & share! #WalkAway @BreitbartNews @rushlimbaugh @JesseBWatters @IngrahamAngle @joelpollak @JoeTalkShow @DanScavino @dbongino @PressSec @RealJamesWoods @JamesTHarris @WayneDupreeShow @KevinJacksonTBS @JoeConchaTV @annvandersteel @DavidJHarrisJr @TheRealHublife https:// twitter.com/usminority/sta tus/1004074300264108034 …";;@BreitbartNews @rushlimbaugh @JesseBWatters @IngrahamAngle @joelpollak @JoeTalkShow @DanScavino @dbongino @PressSec @RealJamesWoods @JamesTHarris @WayneDupreeShow @KevinJacksonTBS @JoeConchaTV @annvandersteel @DavidJHarrisJr @TheRealHublife;#WalkAway;"1004089888294174721";https://twitter.com/1citizenpundit/status/1004089888294174721;1
usminority;2018-06-05 14:55;16;24;"My #WalkAway video & the #WalkAway movement were featured this week on the Todd Herman Show!! Really cool!!! Advance to 15:40 to hear segment!!! https://www. facebook.com/usminority/pos ts/491604201260550 … @RealCandaceO @TPCCNY @RubinReport @realDonaldTrump @therealroseanne @FoxNews @TuckerCarlson @DiamondandSilk";;@RealCandaceO @TPCCNY @RubinReport @realDonaldTrump @therealroseanne @FoxNews @TuckerCarlson @DiamondandSilk;#WalkAway #WalkAway;"1004074300264108034";https://twitter.com/usminority/status/1004074300264108034;0
acriticalmass;2018-06-05 12:41;0;1;"No longer i.d. as Dem/Lib/Left (nor Repub/Right) Or even"Progressive” Labels now corrupted/meaningless. My values r the same: a nation grounded in SocioEconomic Justice/Participatory Governance/Cultural Tolerance/Environmental Sustainability/Nonviolence/Gender Equality #WalkAway https:// twitter.com/usminority/sta tus/1000423835613712384 …";;;#WalkAway;"1004040448132907008";https://twitter.com/acriticalmass/status/1004040448132907008;1
ScarletPatriot;2018-06-05 12:33;0;1;"Ya think??? Your voters have been screaming for Trump sort of changes for Two decades! Establishment Republican have either been purposefully deaf or just plain stupid. Without Trump GOP is dead! Keep that top of mind @GOPLeader #MAGA #WalkAway #DrainingTheDeepState @POTUS";;@GOPLeader @POTUS;#MAGA #WalkAway #DrainingTheDeepState;"1004038486356193280";https://twitter.com/ScarletPatriot/status/1004038486356193280;0
ScarletPatriot;2018-06-05 12:23;0;4;"Pleeeeease, anyone but Romney! #MAGA #WalkAway #GreatAwakening #DrainTheDeepState";;;#MAGA #WalkAway #GreatAwakening #DrainTheDeepState;"1004035979659759616";https://twitter.com/ScarletPatriot/status/1004035979659759616;0
Ambellina77;2018-06-05 11:18;2;3;"This is the EXACT reason I chose to #ExitLeft or #WalkAway Because once you see the true problem of trafficking (NOT TO MENTION NATIONAL SECIRITY) you realize the liberal progressive movement is like the Trolls movie #Bergens that eat our children, but they sing and dance dance d https:// twitter.com/ScottPresler/s tatus/1003986523426050053 …";;;#ExitLeft #WalkAway #Bergens;"1004019528467005441";https://twitter.com/Ambellina77/status/1004019528467005441;1
white_mgtow;2018-06-05 11:14;2;6;"#Traditionalists , aim your #shaming language at the ones that matter. #TuesdayThoughts #MGTOW #Femalenature #Walkaway pic.twitter.com/fEjfTnHDsd";;;#Traditionalists #shaming #TuesdayThoughts #MGTOW #Femalenature #Walkaway;"1004018748339056640";https://twitter.com/white_mgtow/status/1004018748339056640;0
