username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;retweetornot
vandinem;2018-05-29 19:30;0;2;"Have FINALLY received my paperback copy of #Walkaway by @doctorow ( @torbooks ) from the depths of the Amazon warehouse. A long wait since Pirate Cinema!";;@doctorow @torbooks;#Walkaway;"1001606711852101633";https://twitter.com/vandinem/status/1001606711852101633;0
usminority;2018-05-29 17:58;11;22;"It’s time for minorities to #WalkAway from oppressive liberalism and being owned by Democratic Party. Please watch full video & read about the #WalkAway movement here: https://www. facebook.com/usminority/vid eos/486555651765405/ … #Roseanne @benshapiro @madonna @foxnews @RealCandaceO @RubinReport @TuckerCarlson pic.twitter.com/MG0NpGkx51";;@benshapiro @madonna @foxnews @RealCandaceO @RubinReport @TuckerCarlson;#WalkAway #WalkAway #Roseanne;"1001583510623342593";https://twitter.com/usminority/status/1001583510623342593;0
PeteHolmbergNYC;2018-05-29 16:08;30;45;"Hey @RealCandaceO ! More than nine thousand people have seen this video my friend Brandon Straka made. He's launched a movement at @usminority for people who've chosen to #WalkAway from the left. We hope you will join us! https://www. facebook.com/usminority/vid eos/486555651765405/ …";;@RealCandaceO @usminority;#WalkAway;"1001555899973021698";https://twitter.com/PeteHolmbergNYC/status/1001555899973021698;0
AgustinAlvira;2018-05-29 15:49;0;3;"#WalkAway https:// twitter.com/usminority/sta tus/1001147609959067649 …";;;#WalkAway;"1001551231972671489";https://twitter.com/AgustinAlvira/status/1001551231972671489;1
AuthorJoeNBrown;2018-05-29 13:35;8;20;"Sometimes you just need to walk away. #WalkAway #MelaniaTrump #TrumpLies @MelaniaTrump pic.twitter.com/ir7y3b82t0";;@MelaniaTrump;#WalkAway #MelaniaTrump #TrumpLies;"1001517290377105408";https://twitter.com/AuthorJoeNBrown/status/1001517290377105408;0
DeniseDennyp342;2018-05-29 12:17;10;15;"Wish IDS, John Redwood and Jacob Rees Mogg were negotiating #Brexit - what a cracking deal we would get and if we didn't, they would simply #walkaway - these people believe in Britain as a truly independent country https:// twitter.com/LeaveMnsLeave/ status/1001488089980788737 …";;;#Brexit #walkaway;"1001497854240854016";https://twitter.com/DeniseDennyp342/status/1001497854240854016;1
LLLibertee;2018-05-29 10:55;3;7;"@ElderLansing @larryelder @larry @conmomma @thecjpearson @DiamondandSilk change is here #WALKAWAY";;@ElderLansing @larryelder @larry @conmomma @thecjpearson @DiamondandSilk;#WALKAWAY;"1001477082969395201";https://twitter.com/LLLibertee/status/1001477082969395201;0
LLLibertee;2018-05-29 10:53;7;8;"#WALKAWAY campaign must watch and retweet! The people on the left are waking up!!! @GayRepublicSwag @ScottPresler @RealCandaceO @charliekirk11 @CharlieDaniels @RealJamesWoods @RealOmarNavarro @MarcoGutierrez @JoinTravisAllen @AntonioSabatoJr @RealErinCruz https:// twitter.com/usminority/sta tus/1001147609959067649 …";;@GayRepublicSwag @ScottPresler @RealCandaceO @charliekirk11 @CharlieDaniels @RealJamesWoods @RealOmarNavarro @MarcoGutierrez @JoinTravisAllen @AntonioSabatoJr @RealErinCruz;#WALKAWAY;"1001476647676067841";https://twitter.com/LLLibertee/status/1001476647676067841;1
white_mgtow;2018-05-29 10:37;0;1;"A woman with a #vendetta is a scary thing indeed. #MGTOW #Walkaway https:// twitter.com/RLewisReports/ status/1001460354725986305 …";;;#vendetta #MGTOW #Walkaway;"1001472609500868609";https://twitter.com/white_mgtow/status/1001472609500868609;1
darealjinxy;2018-05-29 09:32;0;1;"NEW SINGLE ALERT #WalkAway >> http:// bit.ly/2huNtBU >> @madmancometh86 > #XXLMagazine Ad coming soon! #MADMAN";;@madmancometh86;#WalkAway #XXLMagazine #MADMAN;"1001456241669963777";https://twitter.com/darealjinxy/status/1001456241669963777;0
BreckerRealty;2018-05-29 09:27;0;1;"Would you walk away from a door with one of these mats in from of it? #doormat #unwelcome #walkaway https:// lnkd.in/eBXbjjX https:// lnkd.in/ehvnwig";;;#doormat #unwelcome #walkaway;"1001454932543836160";https://twitter.com/BreckerRealty/status/1001454932543836160;0
crystallotusaly;2018-05-29 07:12;1;2;"Daily reading. #tarot #tarotreadings #angelmessages #walkaway #personalpower #youcandothis pic.twitter.com/XMQF9N1NNG";;;#tarot #tarotreadings #angelmessages #walkaway #personalpower #youcandothis;"1001421137174237184";https://twitter.com/crystallotusaly/status/1001421137174237184;0
hollaluya_21;2018-05-29 05:39;1;2;"I didn’t even realize I needed a new video of #WalkAway but it turns out @SugarshackLive knew I needed it https:// twitter.com/ballyhoorocks/ status/1001266303104176128 …";;@SugarshackLive;#WalkAway;"1001397623201386496";https://twitter.com/hollaluya_21/status/1001397623201386496;1
survivingbreak;2018-05-29 03:44;0;1;"Don't be afraid of losing someone who doesn't feel lucky to have you. #love #life #lose #recognize #afraid #WALKAWAY pic.twitter.com/XCwSIcgjo8";;;#love #life #lose #recognize #afraid #WALKAWAY;"1001368740640903168";https://twitter.com/survivingbreak/status/1001368740640903168;0
a_bombshell_16;2018-05-29 03:15;1;4;"#WalkAway by #YoungBoi is litty and its on his #SoundCloud #StrictlyBidness http:// ow.ly/DUkw30kc5dW";;;#WalkAway #YoungBoi #SoundCloud #StrictlyBidness;"1001361267498602496";https://twitter.com/a_bombshell_16/status/1001361267498602496;0
TheManCamm;2018-05-28 23:56;0;1;"Life is too short for you to be stressing over somebody who would appreciate you..... #walkaway";;;#walkaway;"1001311385542852608";https://twitter.com/TheManCamm/status/1001311385542852608;0
victoriamich93;2018-05-28 22:30;2;1;"New @SugarshackLive #OneTake from @ballyhoorocks ! #WalkAway Ballyhoo - Walk Away (Live) | Sugarshack #OneTake https:// youtu.be/xVbKQ1GMK3U";;@SugarshackLive @ballyhoorocks;#OneTake #WalkAway #OneTake;"1001289688911630337";https://twitter.com/victoriamich93/status/1001289688911630337;0
MyThriftyHouse;2018-05-28 22:05;0;5;"#caseyanthonyparents will never have closure until Cindy wakes up. #cindyisindenial #clueless #walkaway #georgeisright #crazybitch";;;#caseyanthonyparents #cindyisindenial #clueless #walkaway #georgeisright #crazybitch;"1001283481547214848";https://twitter.com/MyThriftyHouse/status/1001283481547214848;0
MysteryBaer;2018-05-28 21:39;0;1;"LOL Steve Kerr bringing the exact same sass he had last game to the between quarter interview. #NBAPlayoffs #walkaway #doyourresearch";;;#NBAPlayoffs #walkaway #doyourresearch;"1001276707708588032";https://twitter.com/MysteryBaer/status/1001276707708588032;0
MyThriftyHouse;2018-05-28 21:32;1;9;"Watching #caseyanthonyparents and George, your loyalty is admiral but Cindy is dragging you down in a sea of stupidity. #redflagsareflying #cindyneedstowakeup #walkaway #cindyiscrazy";;;#caseyanthonyparents #redflagsareflying #cindyneedstowakeup #walkaway #cindyiscrazy;"1001275126460100608";https://twitter.com/MyThriftyHouse/status/1001275126460100608;0
MissBriexo;2018-05-29 19:47;0;1;"#life #lifequote #walkaway #staystrong … https://www. instagram.com/p/BjYVocAhJsV/ ?utm_source=ig_twitter_share&igshid=1uyhv2ab9szyw …";;;#life #lifequote #walkaway #staystrong;"1001611063954112514";https://twitter.com/MissBriexo/status/1001611063954112514;0
jbctwo_jack;2018-05-29 19:05;3;5;"@antonia_okafor #WalkAway";;@antonia_okafor;#WalkAway;"1001600560036900864";https://twitter.com/jbctwo_jack/status/1001600560036900864;0
Mindgrowth1;2018-05-29 14:17;0;3;"We get so comfortable with walls... The walls around us... Start knocking them down... One brick at a time... And see the light pour in... #firsttime #takethestep #believeinyourself #YouCanDoIt #whateveritakes #walkaway #achieve #MentalHealthIsHealth #live #beatbullies";;;#firsttime #takethestep #believeinyourself #YouCanDoIt #whateveritakes #walkaway #achieve #MentalHealthIsHealth #live #beatbullies;"1001527921754943494";https://twitter.com/Mindgrowth1/status/1001527921754943494;0
