username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;retweetornot
GodGetslastWord;2018-07-02 19:57;342;486;"This is not Love or Compassion. This is Obstruction of Justice. It's What the Democrats are all about. #Walkaway from the party of obstruction and hate https:// twitter.com/FoxNews/status /1013926130192142336 …";;;#Walkaway;"1013934606322753537";https://twitter.com/GodGetslastWord/status/1013934606322753537;1
THEEricaDay;2018-07-02 19:55;141;858;"You know #WalkAway is popular when the trolls come out. Gotta remember not to feed them.";;;#WalkAway;"1013934272019861504";https://twitter.com/THEEricaDay/status/1013934272019861504;0
sxdoc;2018-07-02 19:55;755;1250;"Black History: #WalkAway from Dems; Man Cries Tears of Joy for Low Black Unemployment Under Trump (Video) #BlacksForTrump https://www. breitbart.com/big-government /2018/07/01/video-man-cries-tears-joy-low-black-unemployment-under-trump/ …";;;#WalkAway #BlacksForTrump;"1013934121314390016";https://twitter.com/sxdoc/status/1013934121314390016;0
RobertGToniolo;2018-07-02 19:54;213;566;"People ask me why I’m a republican from Chicago. At a very young age the republican offices next to my house had a bomb planted and it blew up at 2 in the morning. At a young age I knew I would never be a democrat. #WalkAwayCampaign #walkaway";;;#WalkAwayCampaign #walkaway;"1013933872017477633";https://twitter.com/RobertGToniolo/status/1013933872017477633;0
PurpleIsCovfefe;2018-07-02 19:51;596;778;"One of the biggest movements going on right now. #WalkAway has Dems running away in droves... and Dems are scaring them away @realDonaldTrump @RealJamesWoods @therealroseanne #PurpleIsCovfefe https://www. thegatewaypundit.com/2018/07/walkaw ay-movement-gains-momentum-as-people-leave-the-democrat-party-in-droves/ …";;@realDonaldTrump @RealJamesWoods @therealroseanne;#WalkAway #PurpleIsCovfefe;"1013933268448743425";https://twitter.com/PurpleIsCovfefe/status/1013933268448743425;0
thebradfordfile;2018-07-02 19:45;59;94;"I guess you can add "poop" to the #WalkAway list. God save California. https:// twitter.com/Cernovich/stat us/1013930530578952193 …";;;#WalkAway;"1013931698021650433";https://twitter.com/thebradfordfile/status/1013931698021650433;1
Thomas1774Paine;2018-07-02 19:45;596;940;"WATCH: #WalkAway Movement to Abandon Liberalism Goes Viral http:// ow.ly/71TQ30kLNmS";;;#WalkAway;"1013931591566020608";https://twitter.com/Thomas1774Paine/status/1013931591566020608;0
johnecobb;2018-07-02 19:43;794;2180;"OMG! #Walkaway is EXPLODING! Gays, Blacks, Hispanics, Legal Immigrants, White Liberals are are all hoping on the Trump Train in Droves! "Sometimes you just have to 'Walk Away'". WELCOME ABOARD!!!!!";;;#Walkaway;"1013931194847768577";https://twitter.com/johnecobb/status/1013931194847768577;0
RealBamaCowboy;2018-07-02 19:42;159;256;"Persistence always prevails over resistance. Good always conquers evil. The truth eventually comes out. I for one am seeing the shift. I am looking forward to We the People again being united as we once were. We can disagree and be civil. No need for anger and violence. #WalkAway";;;#WalkAway;"1013931067982655488";https://twitter.com/RealBamaCowboy/status/1013931067982655488;0
CardinalRichter;2018-07-02 19:40;49;167;"When I saw how much money the gov't was taking from my check, I chose to #WalkAway";;;#WalkAway;"1013930376153137153";https://twitter.com/CardinalRichter/status/1013930376153137153;0
