username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;retweetornot
usminority;2018-06-09 19:56;285;643;"Isn’t it funny-a woman is telling a gay man he is a “gimmick” 4being conservative? This is called liberal privilege. A woman I don’t know can attack a gay man bc I don’t do what she wants or go along with what she wants me 2 & she feels entitled to say this to me. #WalkAway https:// twitter.com/usminority/sta tus/1005588667040055296 …";;;#WalkAway;"1005599540857143296";https://twitter.com/usminority/status/1005599540857143296;1
usminority;2018-06-09 19:13;182;541;"What a sweetie. Heartwarming messages like this make me wonder if I made a mistake leaving the liberals?? #WalkAway pic.twitter.com/u6jxxeqSEj";;;#WalkAway;"1005588667040055296";https://twitter.com/usminority/status/1005588667040055296;0
DutyOfAPatriot;2018-06-09 17:58;131;177;"Divide & Pit Floks Against Each Other— The New Democrats (Socialists) #WalkAway https:// twitter.com/pastordscott/s tatus/1005406188773822466 …";;;#WalkAway;"1005569851530698752";https://twitter.com/DutyOfAPatriot/status/1005569851530698752;1
StandingDarrell;2018-06-09 17:45;75;82;"I’m generally highly skeptical of 180 degree conversions & especially when a performer is involved but time will tell ~ in the meantime the advice given is spot on ~ anyone who still thinks of themselves as a #Marxicrat needs to #WALKAWAY https:// youtu.be/4Pjs7uoOkag pic.twitter.com/JWKvlXijVs";;;#Marxicrat #WALKAWAY;"1005566703005327360";https://twitter.com/StandingDarrell/status/1005566703005327360;0
virginiagirl10;2018-06-09 17:25;130;193;"@RealCandaceO Have you see this video? #FreeThinker #WalkAway https:// twitter.com/usminority/sta tus/1002227787762225158 …";;@RealCandaceO;#FreeThinker #WalkAway;"1005561667495882753";https://twitter.com/virginiagirl10/status/1005561667495882753;1
KattLivesMatter;2018-06-09 16:39;236;202;"HI ,IM GEORGE SOROS. I Enjoy Long Lists of Destabilized Governments, Fanning the Flames of Hysteria and Global Domination #SorosScum #WalkAway #TrumpWorld #Bluehand #NBAFinals #RedWaveRising #QAnon #MAGA #KAG https:// twitter.com/alwaysactions/ status/852329156507566080 …";;;#SorosScum #WalkAway #TrumpWorld #Bluehand #NBAFinals #RedWaveRising #QAnon #MAGA #KAG;"1005550075530170369";https://twitter.com/KattLivesMatter/status/1005550075530170369;1
Justsaytruth18;2018-06-09 16:17;100;117;"Democrats no longer believed in the things that most of us think are important to all #Americans Liberals attitudes and hateful comments that they spew anytime they don't agree is beyond belief. Your powerful video should go #viral and it will. #WalkAway https://www. waynedupree.com/hes-leaving-th e-democratic-party/ …";;;#Americans #viral #WalkAway;"1005544453350846466";https://twitter.com/Justsaytruth18/status/1005544453350846466;0
MAGANinaJo;2018-06-09 15:35;147;137;"NC US House Candidates (3) Please get out the vote, NC and let’s rock it RED and WINNING! #Jobs #LessTaxes #LessRegulations #AmericaFirst NO to socialism and YES to capitalism #VoteRED #WalkAway Mark Meadows - 11 Paul Wright - 12 Tedd Budd - 13 @parscale pic.twitter.com/44rgltVKoH";;@parscale;#Jobs #LessTaxes #LessRegulations #AmericaFirst #VoteRED #WalkAway;"1005533787336380416";https://twitter.com/MAGANinaJo/status/1005533787336380416;0
MAGANinaJo;2018-06-09 15:22;88;81;"NC US House Candidates (2) You know what to do, NC. Get out the vote to keep America WINNING and Congress RED. to socialism capitalism #VoteRED #WalkAway Mark Walker - 6 David Rouzer - 7 Richard Hudson - 8 Mark Harris - 9 Patrick McHenry - 10 @parscale pic.twitter.com/ZMgNaFvNy4";;@parscale;#VoteRED #WalkAway;"1005530472292782081";https://twitter.com/MAGANinaJo/status/1005530472292782081;0
KattLivesMatter;2018-06-09 14:05;253;310;"FINALLY: THIS #TRUMP HATING DEGENERATE WILL BE PUT ON A SHORT LEASH #MuellerTime #TrumpWorld #MAGA #WalkAway #RedWaveRising #QAnon #KAG @The1stUncAnnie1 https:// madworldnews.com/congress-rober t-mueller-account/ …";;@The1stUncAnnie1;#TRUMP #MuellerTime #TrumpWorld #MAGA #WalkAway #RedWaveRising #QAnon #KAG;"1005511127256748033";https://twitter.com/KattLivesMatter/status/1005511127256748033;0
DustieDahl;2018-06-09 13:11;129;142;"Please Take The 6 Minutes To Watch This Video IT IS POWERFUL #MAGA #TrumpsWorld #RedWaveRising #RedWaveRising2018 #WalkAway Wayne Dupree Is Leaving The #Democrat Party & Starting A Serious Movement https://www. waynedupree.com/hes-leaving-th e-democratic-party/ … via @WayneDupreeShow";;@WayneDupreeShow;#MAGA #TrumpsWorld #RedWaveRising #RedWaveRising2018 #WalkAway #Democrat;"1005497696730451968";https://twitter.com/DustieDahl/status/1005497696730451968;0
WayneDupreeShow;2018-06-09 11:16;2098;2514;". @usminority left the Democratic Party and his video is going viral! You've never seen anyone so eloquently explain w/conviction why you should #WalkAway like this! If you don't share anything else this wknd! He was censored on FB so make this happen. http:// ht.ly/uvyI30kpZol";;@usminority;#WalkAway;"1005468582246002688";https://twitter.com/WayneDupreeShow/status/1005468582246002688;0
KattLivesMatter;2018-06-09 10:52;242;330;"NOT ON MY WATCH @POTUS explodes at EU Leaders NO MORE UNFAIR TRADE PRACTICES #WalkAway #TrumpWorld #MAGA #Trump2020 #G72018 #KAG #QAnon #RedTsunami2018 https://www. express.co.uk/news/politics/ 971891/g7-summit-live-g7-latest-donald-trump-us-trade-war-tariffs-eu …";;@POTUS;#WalkAway #TrumpWorld #MAGA #Trump2020 #G72018 #KAG #QAnon #RedTsunami2018;"1005462652687126531";https://twitter.com/KattLivesMatter/status/1005462652687126531;0
Doodisgirl;2018-06-09 10:31;744;1239;"Good Morning Patriots xx We Fight For Our Children, Our Grandchildren, and Their Future! #WhyWeFight #WalkAway #RedWaveRising pic.twitter.com/LT2gHpFz4K";;;#WhyWeFight #WalkAway #RedWaveRising;"1005457428727713795";https://twitter.com/Doodisgirl/status/1005457428727713795;0
Doodisgirl;2018-06-09 09:19;882;1105;"Leaving the Democratic Party is a New Trend! This Guy Started the #WalkAway Movement and Here’s Why: https://www. waynedupree.com/hes-leaving-th e-democratic-party/ …";;;#WalkAway;"1005439305760862208";https://twitter.com/Doodisgirl/status/1005439305760862208;0
Baby___Del;2018-06-09 08:55;197;234;"The #MAGA tent is big enough for ALL who want to live together in Peace & Prosperity! However; even if you don’t believe that’s true, #WalkAway from the #ProgressiveLeft as fast as you can. pic.twitter.com/syE2eGDt2G";;;#MAGA #WalkAway #ProgressiveLeft;"1005433216944295937";https://twitter.com/Baby___Del/status/1005433216944295937;0
Baby___Del;2018-06-09 08:48;108;115;"#WalkAway before it’s too late. Join the #MAGA movement! The Progressive Left is a pathway to DESTRUCTION. Do yourself a favor; Llsten to this Video, then simply #WalkAway https:// twitter.com/waynedupreesho w/status/1005103522139033604 …";;;#WalkAway #MAGA #WalkAway;"1005431356762001408";https://twitter.com/Baby___Del/status/1005431356762001408;1
TobieMcG;2018-06-09 07:02;285;312;"This is awesome!! Please take a minute and watch. #LiberalHypocrisy #WalkAway https:// twitter.com/usminority/sta tus/1002227787762225158 …";;;#LiberalHypocrisy #WalkAway;"1005404787024781313";https://twitter.com/TobieMcG/status/1005404787024781313;1
MAGAVoice1;2018-06-09 03:17;260;230;"Please READ & RT RT RT This is for the survival of America! #BoycottNetflix #boycottObama #WalkAway A Letter from a Dying American to all beloved Americans https:// twitter.com/Jali_Cat/statu s/1005342756095610880 …";;;#BoycottNetflix #boycottObama #WalkAway;"1005348143137865729";https://twitter.com/MAGAVoice1/status/1005348143137865729;1
BryonnyM;2018-06-08 22:43;330;366;"MOST BEAUTIFUL, WELL ARTICULATED, SPINE TINGLING TRUTH I'VE EVER HEARD... Share this EVERYWHERE Patriots Are #WalkAway https://www. waynedupree.com/hes-leaving-th e-democratic-party/ …";;;#WalkAway;"1005279217741856771";https://twitter.com/BryonnyM/status/1005279217741856771;0
usminority;2018-06-09 19:50;53;157;"Ohhh sorry. It wasn’t finished... #WalkAway #TrumpDerangementSyndrome #LiberalismIsAMentalIllness #MAGA pic.twitter.com/H8M9LNMOdv";;;#WalkAway #TrumpDerangementSyndrome #LiberalismIsAMentalIllness #MAGA;"1005598056711098372";https://twitter.com/usminority/status/1005598056711098372;0
skramerbyu_82;2018-06-09 19:49;26;45;"Best thing any liberal can do is #WalkAway and join #RedWaveRising2018 ! Will be the best decision of your life!! #AmericaFirst pic.twitter.com/UYLW1WiQjE";;;#WalkAway #RedWaveRising2018 #AmericaFirst;"1005597706650189824";https://twitter.com/skramerbyu_82/status/1005597706650189824;0
RightSideSkirt;2018-06-09 18:28;26;27;"Again. Please dems #WalkAway . Dems find it acceptable to declare how they want the US to fail to get rid of Trump. YOU to fail - to push their own agenda! Is this acceptable? #WalkAway https:// twitter.com/paullee85/stat us/1005480065121964032 …";;;#WalkAway #WalkAway;"1005577458907865088";https://twitter.com/RightSideSkirt/status/1005577458907865088;1
beth2_k3;2018-06-09 14:54;17;18;"WOW, the best 6 minutes of my time just spent watching and LISTENING to this man and how he #WalkAway Must share everywhere. #MAGA https:// twitter.com/DustieDahl/sta tus/1005497696730451968 …";;;#WalkAway #MAGA;"1005523509043453952";https://twitter.com/beth2_k3/status/1005523509043453952;1
HallHHooker;2018-06-09 14:26;82;203;"#WalkAway This is why the #BlueWave will not succeed. I am also a Liberal who walked away. This is why. https://www. facebook.com/allie.hanley1/ posts/10215101878116840 …";;;#WalkAway #BlueWave;"1005516471219490817";https://twitter.com/HallHHooker/status/1005516471219490817;0
Jillibean557;2018-06-09 14:03;18;40;"#WalkAway #RedWaveRising2018 pic.twitter.com/ZaxZXHPTVM";;;#WalkAway #RedWaveRising2018;"1005510822666428418";https://twitter.com/Jillibean557/status/1005510822666428418;0
JoGragg;2018-06-09 12:24;15;19;"THIS!! So much THIS! #WalkAway http:// ht.ly/uvyI30kpZol";;;#WalkAway;"1005485918453751808";https://twitter.com/JoGragg/status/1005485918453751808;0
Walkawa68083228;2018-06-09 11:42;41;69;"They want us suffering so that we’ll vote Democrat. When in office, Dems do nothing to truly help us because they need us divided and suffering so we’ll KEEP voting for them. NO MORE. It’s time to #WalkAway from the Democrat Plantation and be free.";;;#WalkAway;"1005475318302412800";https://twitter.com/Walkawa68083228/status/1005475318302412800;0
newsmediawont;2018-06-09 11:16;16;19;". @usminority left the Democratic Party and his video is going viral! You've never seen anyone so eloquently explain w/conviction why you should #WalkAway like this! If you don't share anything else this wknd! He was censored on FB so make this happen. http:// ht.ly/uvyI30kpZol";;@usminority;#WalkAway;"1005468597622333442";https://twitter.com/newsmediawont/status/1005468597622333442;0
PinkLadyMine;2018-06-09 09:42;14;10;"Watch this video & pass it along I am with you I reject #Hate too! #WalkAway https:// twitter.com/BryonnyM/statu s/1005279217741856771 …";;;#Hate #WalkAway;"1005444951411286017";https://twitter.com/PinkLadyMine/status/1005444951411286017;1
NotBuyingIt34;2018-06-09 09:02;12;18;"Must Watch! #WalkAway https:// twitter.com/waynedupreesho w/status/1005103522139033604 …";;;#WalkAway;"1005435005424820224";https://twitter.com/NotBuyingIt34/status/1005435005424820224;1
gforde;2018-06-09 08:42;179;301;"I too was a cradle Democrat -- walked away from this sick ideology 22 years ago. #WalkAway from this scourge on: society, human dignity, & the soul. God Bless. https:// twitter.com/usminority/sta tus/1002227787762225158 …";;;#WalkAway;"1005429960910229504";https://twitter.com/gforde/status/1005429960910229504;1
Reversequestion;2018-06-09 08:15;15;14;"He's Leaving The Democratic Party And His Story Is Profound! http:// rumble.com/v5k4cz-hes-lea … #WalkAway this is a must see for everyone in America... let’s retweet this and get his information out there Patriots @realDonaldTrump @RealCandaceO @kanyewest https:// twitter.com/usminority/sta tus/1002227787762225158 …";;@realDonaldTrump @RealCandaceO @kanyewest;#WalkAway;"1005423133602533381";https://twitter.com/Reversequestion/status/1005423133602533381;1
Ingenius31;2018-06-09 08:13;24;30;"#WalkAway from Victimhood. Join the conservative movement. We believe in freedom, self reliance, small government, Individual Civil Liberty, federlism, traditional family values (We don't care if your gay) and community. https:// twitter.com/usminority/sta tus/1002227787762225158 …";;;#WalkAway;"1005422680802197504";https://twitter.com/Ingenius31/status/1005422680802197504;1
myIZrOpend;2018-06-09 05:01;6;44;"This exemplifies why Democrats are starting to #WalkAway in droves...extremist left ideals have taken over the party.";;;#WalkAway;"1005374258724392960";https://twitter.com/myIZrOpend/status/1005374258724392960;0
