username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;retweetornot
HattieMcCoy20;2018-06-16 19:33;1;10;"Thank you @ScottPresler I learn so much from you. You're always faithful to yourself. Each day I watch, listen and learn. #WalkAway #MAGA";;@ScottPresler;#WalkAway #MAGA;"1008130551658643456";https://twitter.com/HattieMcCoy20/status/1008130551658643456;0
Rebelocracy;2018-06-16 18:56;72;124;"The left has learned nothing... We are not a cult, we are an ARMY. #WalkAway and join #MAGA";;;#WalkAway #MAGA;"1008121073060098049";https://twitter.com/Rebelocracy/status/1008121073060098049;0
AUsa728;2018-06-16 18:50;8;8;"There’s a movement called #WalkAway for those feeling used by DNC!";;;#WalkAway;"1008119719914868742";https://twitter.com/AUsa728/status/1008119719914868742;0
usminority;2018-06-16 17:52;51;147;"This man, right here ——-> @WayneDupreeShow Is THE MAN!!!! Thanks, Wayne!! Let’s keep talking- And I’d love to see your #WalkAway video, Wayne!!!!! https:// twitter.com/waynedupreesho w/status/1008076558798610432 …";;@WayneDupreeShow;#WalkAway;"1008105173020041216";https://twitter.com/usminority/status/1008105173020041216;1
Evon_1111;2018-06-16 17:47;17;38;"I give this man two thumbs up. He took the #redpill . Welcome aboard to what I call the #Partyless Movement. We should create a new political party for the #WalkAway Movement . https://www. youtube.com/attribution_li nk?a=sSyosGMByKs&u=%2Fwatch%3Fv%3D4Pjs7uoOkag%26feature%3Dshare …";;;#redpill #Partyless #WalkAway;"1008103854129508353";https://twitter.com/Evon_1111/status/1008103854129508353;0
jmgraceland;2018-06-16 17:34;2;3;"Bravo, Brandon! What an inspiration. Although it’s been many years ago, I was once a liberal, too. If you call yourself a Democrat, it’s time to take a serious look at the values you’re ascribing to. You know it’s time... #Walkaway https:// twitter.com/waynedupreesho w/status/1008076558798610432 …";;;#Walkaway;"1008100519313793024";https://twitter.com/jmgraceland/status/1008100519313793024;1
_ThatVoice;2018-06-16 16:48;6;16;"I know many people who were separated from family either by crime, financial problems, death, so Democrat's hysteria makes no sense. #WalkAway";;;#WalkAway;"1008088962018217987";https://twitter.com/_ThatVoice/status/1008088962018217987;0
ChrissyUSA1;2018-06-16 16:09;5;3;"#MAGA #QAnon #WeThePeople #JESUSLIVES #GodIsInCharge #WWG1WGA #RedWaveRising #FreeTommyRobinson #WalkAway #OffThePlantation THIS IS DISGUSTING! THIS WOMAN CEO @PPFA #PlannedParenthood GETTING HUMAN RIGHTS AWARD?! FOR KILLING BABIES! https:// twitter.com/scottisbell_/s tatus/1008061325556240384 …";;@PPFA;#MAGA #QAnon #WeThePeople #JESUSLIVES #GodIsInCharge #WWG1WGA #RedWaveRising #FreeTommyRobinson #WalkAway #OffThePlantation #PlannedParenthood;"1008079125494394880";https://twitter.com/ChrissyUSA1/status/1008079125494394880;1
ViciousHeathen;2018-06-16 16:05;2;9;"I love this video more and more every time I watch it. #WalkAway";;;#WalkAway;"1008078088419373058";https://twitter.com/ViciousHeathen/status/1008078088419373058;0
WayneDupreeShow;2018-06-16 15:59;5886;6143;"Brandon Is Leaving The Democratic Party And Starting The #WalkAway Movement. After Watching This Video, There Will Be A Mass Exodus! via @usminority If you shared this, share it again. This is what I call messaging to win the argument! http:// ht.ly/nQdB30kwT6S";;@usminority;#WalkAway;"1008076558798610432";https://twitter.com/WayneDupreeShow/status/1008076558798610432;0
ChrissyMAGAOne;2018-06-16 13:22;26;27;"#MAGA #QAnon #WeThePeople #JESUSLIVES #GodIsInCharge #WWG1WGA #RedWaveRising #FreeTommyRobinson #WalkAway IF AFTER THIS #IGREPORT PLUS ALL HARD FACTUAL EVIDENCE AGAINST THESE TRAITORS DOES NOT GET THEM ROUNDED UP & ARRESTED, THEN THERE IS NO JUSTICE! @realDonaldTrump pic.twitter.com/Gc3DMrMV4x";;@realDonaldTrump;#MAGA #QAnon #WeThePeople #JESUSLIVES #GodIsInCharge #WWG1WGA #RedWaveRising #FreeTommyRobinson #WalkAway #IGREPORT;"1008036990158139394";https://twitter.com/ChrissyMAGAOne/status/1008036990158139394;0
rdickens31;2018-06-16 13:00;2;10;"Think @SenKamalaHarris or @RepMaxineWaters know this??? #WalkAway";;@SenKamalaHarris @RepMaxineWaters;#WalkAway;"1008031599118733313";https://twitter.com/rdickens31/status/1008031599118733313;0
girlcombatvet;2018-06-16 12:49;6;5;"#LyingLiberals #MAGA #FakeNews #SpyGate #Corruption #AngryDemocrats #WalkAway @PoxNewsCEO #MuellerWitchHunt #IGReportUnredacted #IGrepor @EmmettOFarrell @IndictRedDon pic.twitter.com/9lQespUbxY";;@PoxNewsCEO @EmmettOFarrell @IndictRedDon;#LyingLiberals #MAGA #FakeNews #SpyGate #Corruption #AngryDemocrats #WalkAway #MuellerWitchHunt #IGReportUnredacted #IGrepor;"1008028765958606848";https://twitter.com/girlcombatvet/status/1008028765958606848;0
LaunaSallai;2018-06-16 12:29;18;19;"Very Powerful Video! MUST WATCH! #TruthBomb Check out the full #WalkAway video and details about the #WalkAway Campaign here: https://www. facebook.com/usminority/vid eos/486555651765405/ … … (plz like and follow!!) Or on YouTube at: https:// youtu.be/4Pjs7uoOkag (plz subscribe!!) pic.twitter.com/jgUT5jkK7n";;;#TruthBomb #WalkAway #WalkAway;"1008023664095162368";https://twitter.com/LaunaSallai/status/1008023664095162368;0
UsernameDawn3;2018-06-16 11:59;6;10;"#TheStormIsComing #ThisStormIsHUGE #TrumpTrain2020 #AllAboardAmerica #WalkAway @POTUS it is time for #unredactedIGReport Thank you in advance, let's wake some folks up. We are ready.";;@POTUS;#TheStormIsComing #ThisStormIsHUGE #TrumpTrain2020 #AllAboardAmerica #WalkAway #unredactedIGReport;"1008016146203734019";https://twitter.com/UsernameDawn3/status/1008016146203734019;0
happit1776;2018-06-16 10:37;5;9;"IF YOU HAVE TO TELL PEOPLE YOU ARE NOT THEIR ENEMY... the damage is already done. #WalkAway https:// twitter.com/Thomas1774Pain e/status/1007963531487207425 …";;;#WalkAway;"1007995479328731137";https://twitter.com/happit1776/status/1007995479328731137;1
AmyLou523;2018-06-16 08:51;0;14;"You do realize your beloved Scumbama did the same damn thing for his 8 yrs??? The left IS a mental disorder, just like being delusional and hearing voices. The left is falling apart anyways. #WalkAway . LOVE IT!!!!!";;;#WalkAway;"1007969016504307714";https://twitter.com/AmyLou523/status/1007969016504307714;0
peaceandjoy101;2018-06-15 23:20;92;112;"It’s accounts like @usminority the liberals DON’T want you to see. #DemExit on steroids. He has a #WalkAway campaign video that’s a must watch. Welcome ‘The Unsilent Minority’, to the greatest movement in America #MAGA pic.twitter.com/32oTXRPsy4";;@usminority;#DemExit #WalkAway #MAGA;"1007825279937417216";https://twitter.com/peaceandjoy101/status/1007825279937417216;0
JulieAppletoft;2018-06-15 22:29;3;6;"I've got you, looks like you already follow me. These battles only make us stronger, hang in there. #PatriotsUnited #WalkAway";;;#PatriotsUnited #WalkAway;"1007812337145806848";https://twitter.com/JulieAppletoft/status/1007812337145806848;0
WeRAllDivine;2018-06-15 20:00;8;14;"Perfect example of a typical #Liberal : Hateful, Vile, Nasty, Racist, Intolerant, Hypocrite, Lying Fascist. A true Sadistic Sociopath! #WALKAWAY #LiberalismIsAMentalDisorder pic.twitter.com/TaeOWp3CvV";;;#Liberal #WALKAWAY #LiberalismIsAMentalDisorder;"1007774958884458496";https://twitter.com/WeRAllDivine/status/1007774958884458496;0
ZigTj;2018-06-16 17:49;2;2;"Hello...wake up libturds. ..pay attention for a change! #LiberalDoubleStandard #LiberalHypocrisy #ResistLiberalism #LiberalLies #WalkAway https:// twitter.com/CovfefeOnIce/s tatus/1008098132012433417 …";;;#LiberalDoubleStandard #LiberalHypocrisy #ResistLiberalism #LiberalLies #WalkAway;"1008104235299307521";https://twitter.com/ZigTj/status/1008104235299307521;1
BeeBeeBeeLeaves;2018-06-16 16:49;2;8;"That much money to simply hide all his records and show off pictures of him and his Hollywood friends? Oy. #FreeThinkers #WalkAway #WakeUpChicago";;;#FreeThinkers #WalkAway #WakeUpChicago;"1008089281330536448";https://twitter.com/BeeBeeBeeLeaves/status/1008089281330536448;0
vibora_volando;2018-06-16 16:31;0;7;"Asians are another group that gravitates to Dem party inexplicably. Maybe a little #WalkAway needed";;;#WalkAway;"1008084648235130880";https://twitter.com/vibora_volando/status/1008084648235130880;0
rdickens31;2018-06-16 15:44;2;2;"Let's let @CharlesBarron12 know what we think of him. Despicable human being! #WalkAway";;@CharlesBarron12;#WalkAway;"1008072816133132288";https://twitter.com/rdickens31/status/1008072816133132288;0
nyinvesting;2018-06-16 15:11;1;1;"You seem to be part of the #WalkAway movement, which encourages members of ALL minority groups to stop allowing themselves to be exploited by the DEM Party. See this great video: https://www. youtube.com/watch?v=AWVq_5 fIPis … . You will love it! https:// twitter.com/riwired/status /875076362096320512 …";;;#WalkAway;"1008064528821706752";https://twitter.com/nyinvesting/status/1008064528821706752;1
actlightning;2018-06-16 14:45;2;3;"#MAGA #MAGA2018 #TCOT #KAG #GOP #BlueWave2018 #WinBlue #UniteBlue #DrainTheSwamp #Resistance #WalkAway https:// twitter.com/LadyThriller69 /status/1007726911517179904 …";;;#MAGA #MAGA2018 #TCOT #KAG #GOP #BlueWave2018 #WinBlue #UniteBlue #DrainTheSwamp #Resistance #WalkAway;"1008057898084134912";https://twitter.com/actlightning/status/1008057898084134912;1
