username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;retweetornot
dab_doub_c;2018-06-17 18:25;1;10;"@usminority RT above tweet to get more followers seeing your video https:// youtu.be/4Pjs7uoOkag Follow @usminority #WalkAway Campaign";;@usminority @usminority;#WalkAway;"1008475765736816640";https://twitter.com/dab_doub_c/status/1008475765736816640;0
DeplorablAnnJoy;2018-06-17 17:59;16;19;"Liberal DemocRATs are all about taking away our Constitutional rights, breaking up the family unit & entitlements. It's all geared towards making the population DEPENDENT on the government. Because if you are DEPENDENT on them They can CONTROL YOU #WalkAway #RedWaveRising https:// twitter.com/usminority/sta tus/1007191747355729920 …";;;#WalkAway #RedWaveRising;"1008469231086678016";https://twitter.com/DeplorablAnnJoy/status/1008469231086678016;1
beth2_k3;2018-06-17 17:07;75;75;"THe progress of having a Democrat in charge. Very helpful in keeping you poor. If you want to change that, #Walkaway and Vote Republican in the future. https:// twitter.com/USATrump45/sta tus/989636229477085185 …";;;#Walkaway;"1008456075559960576";https://twitter.com/beth2_k3/status/1008456075559960576;1
LC_Drinnen;2018-06-17 16:28;3;5;"#WalkAway Others have opened their eyes and have seen the truth. Please watch, research and then decide. https:// m.youtube.com/watch?v=4Pjs7u oOkag&feature=youtu.be …";;;#WalkAway;"1008446403209777152";https://twitter.com/LC_Drinnen/status/1008446403209777152;0
actlightning;2018-06-17 16:16;4;3;"#DeathByDemocrats - creating sh*tholes is their singular accomplishment. Are YOU a Democrat? #WalkAway pic.twitter.com/iq3jT7pQT3";;;#DeathByDemocrats #WalkAway;"1008443244412203008";https://twitter.com/actlightning/status/1008443244412203008;0
beth2_k3;2018-06-17 15:13;20;26;"#NY It's time to #Walkaway and help America restore our Constitution. Get the vote out and vote RED RED RED. https:// twitter.com/Redhead4645/st atus/1008399157189644288 …";;;#NY #Walkaway;"1008427519429808132";https://twitter.com/beth2_k3/status/1008427519429808132;1
1stAirDel_USMCR;2018-06-17 14:55;3;4;"Dirty Cop @Comey is running for president? http:// bit.ly/Dirty_Corrupt_ Cop-2JJq7uS … #MAGA #MAGA2018 #TCOT #KAG #GOP #BlueWave2018 #WinBlue #UniteBlue #DrainTheSwamp #Resistance Democrat? #WalkAway ! pic.twitter.com/pshhUiAfl5";;@Comey;#MAGA #MAGA2018 #TCOT #KAG #GOP #BlueWave2018 #WinBlue #UniteBlue #DrainTheSwamp #Resistance #WalkAway;"1008422986762711040";https://twitter.com/1stAirDel_USMCR/status/1008422986762711040;0
ChrissyMAGAOne;2018-06-17 14:34;8;6;"#MAGA #QAnon #WeThePeople #JESUSLIVES #GodIsInCharge #WWG1WGA #RedWaveRising #FreeTommyRobinson #WalkAway #OffThePlantation **NEW Q POSTS w/ANON 6/17/18** 2/3 pic.twitter.com/IpbDumMPDT";;;#MAGA #QAnon #WeThePeople #JESUSLIVES #GodIsInCharge #WWG1WGA #RedWaveRising #FreeTommyRobinson #WalkAway #OffThePlantation;"1008417589544943616";https://twitter.com/ChrissyMAGAOne/status/1008417589544943616;0
NightSKY4409;2018-06-17 13:40;130;199;"Team . @BarackObama v. Team . @realDonaldTrump . @GregGutfeldShow . @greggutfeld #walkaway #KAG2020 #VoteRed There is no #BlueWave pic.twitter.com/56sDQhDz2t";;@BarackObama @realDonaldTrump @GregGutfeldShow @greggutfeld;#walkaway #KAG2020 #VoteRed #BlueWave;"1008404018991902720";https://twitter.com/NightSKY4409/status/1008404018991902720;0
IAmSuperTrump;2018-06-17 11:01;14;21;"You are SO right, Candace! The feckless Dems only NOW feign concern for children of ILLEGALS... ignoring all LEGAL Americans who are homeless or living in abject poverty. #ChildrenInCages #ChildrensConcentrationCamps #WalkAway pic.twitter.com/qdTEKjBaVj";;;#ChildrenInCages #ChildrensConcentrationCamps #WalkAway;"1008363913556254722";https://twitter.com/IAmSuperTrump/status/1008363913556254722;0
usminority;2018-06-17 10:57;57;167;"I think it may be time for us to go on a FoxNews tagging and emailing blitz. They don’t seem to have gotten the message yet!!! #WalkAway";;;#WalkAway;"1008363130815164418";https://twitter.com/usminority/status/1008363130815164418;0
deanbc1;2018-06-17 10:34;6;13;"They can strike but we will win by not having the propaganda instead of them. It is more aptly named the Washington Compost in 2018. It wasn't always this abusively biased. #KAG #WalkAway #VoteEveryDemOut #Trump2020Landslide pic.twitter.com/fWIxddaegZ";;;#KAG #WalkAway #VoteEveryDemOut #Trump2020Landslide;"1008357139079925766";https://twitter.com/deanbc1/status/1008357139079925766;0
Trishmiller777;2018-06-17 09:48;2;5;"Followed all. If I missed you follow me....I will follow all Patriots back #WalkAway #MAGA #1A . #2A . #KAG2020 #RedWave";;;#WalkAway #MAGA #1A #2A #KAG2020 #RedWave;"1008345710356516865";https://twitter.com/Trishmiller777/status/1008345710356516865;0
Trishmiller777;2018-06-17 07:21;1;5;"Followed all here too!! #WalkAway #MAGA";;;#WalkAway #MAGA;"1008308717572456448";https://twitter.com/Trishmiller777/status/1008308717572456448;0
TimWSternberg;2018-06-17 06:25;763;1611;"I am a newly awakened former lifelong Democrat now Independent for many of the same reasons as Brandon. #WalkAway https:// twitter.com/waynedupreesho w/status/1008076558798610432 …";;;#WalkAway;"1008294553596715008";https://twitter.com/TimWSternberg/status/1008294553596715008;1
FrauZora;2018-06-17 02:23;0;0;"Wow #WalkAway Der linke Opferkult .... Spiegelrassismus klar benannt Beeindruckende klare Worte Once upon a time I was a Liberal, ... https:// twitter.com/schneeridara/s tatus/1008133063640076288 …";;;#WalkAway;"1008233650721345537";https://twitter.com/FrauZora/status/1008233650721345537;1
adarn70;2018-06-17 01:15;7;13;"America is BACK Baby!! Remember that in Nov. All frustrated Dems welcome. #walkaway . Help us keep the Red Wave Rising!!";;;#walkaway;"1008216515152433152";https://twitter.com/adarn70/status/1008216515152433152;0
usminority;2018-06-17 00:08;191;346;"Every time I think they can’t go lower. THIS is why this movement must happen. In Scientology, the members are told lies about their non-member friends and families. They are encouraged to “disconnect”. Liberalism has become a cult. #WalkAway . https://www. salon.com/2018/06/14/cut -trump-supporters-off-the-horror-of-kids-taken-from-immigrant-parents-demands-personal-action/ …";;;#WalkAway;"1008199637361143809";https://twitter.com/usminority/status/1008199637361143809;0
FrankLo37366831;2018-06-16 22:51;9;12;"I love our President.. I wish I had millions to fight the lies of the left. #WalkAway";;;#WalkAway;"1008180178525118464";https://twitter.com/FrankLo37366831/status/1008180178525118464;0
deanbc1;2018-06-16 20:21;61;77;"2/2 Sounds too evil to be true. Sadly, this is actually their attitude. Rooting for America to fail for political gain. Democrats are now a worse enemy than ISIS to America Listen to the clip. #WalkAway #BattleGroudGroups #LiberalLogic #RedWave2018 https:// youtu.be/MvcmMlppEs4";;;#WalkAway #BattleGroudGroups #LiberalLogic #RedWave2018;"1008142583141425152";https://twitter.com/deanbc1/status/1008142583141425152;0
mozisme32843;2018-06-17 18:02;2;5;"#MAGA #LockThemAllUp #WalkAway #Trump #FireRosenstein #FireSessions #Corruption #RedWaveRising @TheJusticeDept @jeffsessions @drawandstrike @JamesDoss50 @RealJamesWoods @ThomasWictor please RT https:// twitter.com/PlaysTrumpCard /status/1007613925318373376 …";;@TheJusticeDept @jeffsessions @drawandstrike @JamesDoss50 @RealJamesWoods @ThomasWictor;#MAGA #LockThemAllUp #WalkAway #Trump #FireRosenstein #FireSessions #Corruption #RedWaveRising;"1008469980604583936";https://twitter.com/mozisme32843/status/1008469980604583936;1
katcooney;2018-06-17 17:30;2;2;"#WalkAway https:// twitter.com/kamvtv/status/ 1005155890058571776 …";;;#WalkAway;"1008461787098841088";https://twitter.com/katcooney/status/1008461787098841088;1
LC_Drinnen;2018-06-17 16:31;2;4;"#WalkAway Others have opened their eyes and have seen the truth. Please watch, research and then decide. https:// m.youtube.com/watch?v=4Pjs7u oOkag&feature=youtu.be …";;;#WalkAway;"1008447070691319809";https://twitter.com/LC_Drinnen/status/1008447070691319809;0
Rig_Wife;2018-06-17 15:20;6;13;"Peer pressure and fear of being chastised, removed from your social/family circles keeps people in lock step on the left. The Scientology analogy was spot on. That is why celebs and athletes stay so toxic....it is to keep their jobs. #WalkAway";;;#WalkAway;"1008429292236234757";https://twitter.com/Rig_Wife/status/1008429292236234757;0
countrydav;2018-06-17 15:12;0;2;"https:// twitter.com/usminority/sta tus/1007191747355729920?s=19 … help spread this young man's message on how he left the Democrat plantation. Powerful and moving video. #walkaway";;;#walkaway;"1008427279360413696";https://twitter.com/countrydav/status/1008427279360413696;1
countrydav;2018-06-17 15:08;0;4;"These grassroot messages take time to get going. I will start posting the #walkaway on my comments to help. If you're one of the first to comment on someone else's tweet, it really helps to spread the word. Also it helps if the person has a massive amount of followers. To see it.";;;#walkaway;"1008426291853430788";https://twitter.com/countrydav/status/1008426291853430788;0
alvalyn;2018-06-17 14:59;1;3;"A former client referred a prospective project to me. They’re looking for a technician, not a designer. It’s not a good fit for me. I didn’t accept. #creativebiz #wisdom #designer #freelancing #walkaway";;;#creativebiz #wisdom #designer #freelancing #walkaway;"1008423995971010560";https://twitter.com/alvalyn/status/1008423995971010560;0
108RSGUITARS;2018-06-17 14:36;35;109;"Right on... I also had to #walkaway after 50 years Liberal I’m now an Independant who will vote for the party whose policies I align with... and thankfully we have @realDonaldTrump at the helm creating the CHANGE we have been voting for (Obama) and never got it TILL NOW! #MAGA";;@realDonaldTrump;#walkaway #MAGA;"1008418234016546817";https://twitter.com/108RSGUITARS/status/1008418234016546817;0
ChrissyUSA1;2018-06-17 14:33;4;4;"#MAGA #QAnon #WeThePeople #JESUSLIVES #GodIsInCharge #WWG1WGA #RedWaveRising #FreeTommyRobinson #WalkAway #OffThePlantation **NEW Q POSTS w/ANON 6/17/18** 2/3 pic.twitter.com/C3JUhymj4t";;;#MAGA #QAnon #WeThePeople #JESUSLIVES #GodIsInCharge #WWG1WGA #RedWaveRising #FreeTommyRobinson #WalkAway #OffThePlantation;"1008417328311123968";https://twitter.com/ChrissyUSA1/status/1008417328311123968;0
BeeBeeBeeLeaves;2018-06-17 14:09;3;3;"Murderers always say ahead of the act that they will kill. Always. This one said he was out to fundamentally change America. They have all been very out in the open, those #evilhypocrites This #Bilderberg footage confirms a lot though. Wow. #WalkAway #FreeThinkers Walk. Away.";;;#evilhypocrites #Bilderberg #WalkAway #FreeThinkers;"1008411422684995584";https://twitter.com/BeeBeeBeeLeaves/status/1008411422684995584;0
LTGlobal_trap;2018-06-17 11:52;3;8;"Fell in love with what @ParkerHits did in a first sec. #repeat all the way! https:// youtu.be/pCc_fsXp-Q4 Glad to support such talent #newmusic #3lau #walkaway #parker #globaltrap #youtubemusic";;@ParkerHits;#repeat #newmusic #3lau #walkaway #parker #globaltrap #youtubemusic;"1008376958407888902";https://twitter.com/LTGlobal_trap/status/1008376958407888902;0
