username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;retweetornot
DagrunSpring;2018-06-28 19:54;123;391;"I walked away when I was in my early 20’s. I had realized that I was being a hypocrite by supporting a democratic party that claimed to be tolerant but was intolerant of my religious beliefs. Not to mention over-taxing and penalizing success. #walkaway";;;#walkaway;"1012484490130808833";https://twitter.com/DagrunSpring/status/1012484490130808833;0
TheRedRubicon;2018-06-28 19:54;115;199;"-Last Week Liberals were advocating saving babies at the border. -This week they are worried they will lose their right to kill them. #MAGA #DefundPlannedParenthood #Trump #LiberalismIsAMentalDisorder #WalkAway #WalkAwayMovementGrowing #alllivesmatter";;;#MAGA #DefundPlannedParenthood #Trump #LiberalismIsAMentalDisorder #WalkAway #WalkAwayMovementGrowing #alllivesmatter;"1012484468022521857";https://twitter.com/TheRedRubicon/status/1012484468022521857;0
sapphire_407;2018-06-28 19:38;48;149;"#WalkAway You don't have to join a party. Free yourself, stay independent. It will keep your mind open and you'll be able to vote for the right person.";;;#WalkAway;"1012480416484380672";https://twitter.com/sapphire_407/status/1012480416484380672;0
JenBunnyHunny;2018-06-28 19:35;17;149;"Obviously walking away is from the Democratic Party, in case you missed that somehow. Walking to...does it really matter as long as it’s someplace without the illogical unhinged hysteria of the Dems/left? #WalkAway #MAGA #QAnon #TheGreatAwakening";;;#WalkAway #MAGA #QAnon #TheGreatAwakening;"1012479576847642624";https://twitter.com/JenBunnyHunny/status/1012479576847642624;0
LaylaAlisha11;2018-06-28 19:32;58;61;"All these pictures are from 2014 under #OBAMA ! Where is all the #LiberalHysteria , Foaming at the mouth, Harassing Cabinet members out in public, & even spitting on Women! #LiberalHypocrisy is Out of Control along w/ the #Democrats violent antics!! #VoteDemsOut #WalkAway #KAG ! https:// twitter.com/sararucrazy/st atus/1010277185163325440 …";;;#OBAMA #LiberalHysteria #LiberalHypocrisy #Democrats #VoteDemsOut #WalkAway #KAG;"1012478888717504512";https://twitter.com/LaylaAlisha11/status/1012478888717504512;1
Jali_Cat;2018-06-28 19:32;204;338;"I have never in my life seen such stupidity. If anyone CAUSED the #Maryland shooting?? It was IDIOTS LIKE YOU @AndrewFeinberg ! You’re CONSTANT FAKE NEWS & FAUX OUTRAGES need to STOP! You and democrats LIKE YOU project 24/7! WE SEE YOU! #WalkAway https:// twitter.com/andrewfeinberg /status/1012438187510296576?s=12 …";;@AndrewFeinberg;#Maryland #WalkAway;"1012478877132902401";https://twitter.com/Jali_Cat/status/1012478877132902401;1
Serena5555;2018-06-28 19:10;90;353;"Dems desecrate the memory of holocaust, call Right Nazis, condemn Israel, endorse BDS loving candidates. I #walkaway";;;#walkaway;"1012473349187035137";https://twitter.com/Serena5555/status/1012473349187035137;0
RealRonHaines;2018-06-28 19:05;525;560;"@RealJamesWoods : Democrat for the greater portion of my voting life. The #Clintons cinched it for me. I was an #Independent through the Bush years. Obama was an eight year blank. The hatred and violence the @Democrats now promote convince me to #WalkAway How are you voting?";;@RealJamesWoods @Democrats;#Clintons #Independent #WalkAway;"1012472094247084032";https://twitter.com/RealRonHaines/status/1012472094247084032;0
RunningPaladin2;2018-06-28 19:05;29;97;"You know how many millions of democrats voted for trump? I’m one of them. You know how many millions of republicans didn’t but will now. There is no blue wave in November Republican Party is stronger than it’s been in 100yrs the left are radical that’s why I decided to #WalkAway";;;#WalkAway;"1012471994707673088";https://twitter.com/RunningPaladin2/status/1012471994707673088;0
jencala11;2018-06-28 19:00;45;167;"#WalkAway The left, left me a long time ago. Never looked back. Left = Intolerance, deceit, coverups, bias, socialism, hate filled & hypocrites. #MAGA";;;#WalkAway #MAGA;"1012470933204951041";https://twitter.com/jencala11/status/1012470933204951041;0
