username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;retweetornot
usminority;2018-06-18 19:32;35;118;"Join me on Facebook Live in 30 mins for my live interview with another red-pilled Gay conservative, Michael! It’s gonna be a great chat!!!! #WalkAway";;;#WalkAway;"1008855008543158272";https://twitter.com/usminority/status/1008855008543158272;0
OpinionOnion7;2018-06-18 18:50;31;43;"Hey #TrumpTrain ! Please follow @usminority who is an ex-Dem. He has an important movement called #WalkAway to encourage Dem voters to go to the conservative side. Please RT his videos. Please reach out to media to get him on. His voice is important! #MAGA #KAG @realDonaldTrump pic.twitter.com/NBMT3cNEgO";;@usminority @realDonaldTrump;#TrumpTrain #WalkAway #MAGA #KAG;"1008844513291337728";https://twitter.com/OpinionOnion7/status/1008844513291337728;0
gs777gs777;2018-06-18 17:55;2;4;"devil-in-disguise democRATS are stepping up their ATTACKS and HATE against those who are leaving the plantation. Don't let #Satan win ! #GreatAwakening #WalkAway https:// twitter.com/twas2/status/1 008548442593869825 …";;;#Satan #GreatAwakening #WalkAway;"1008830546338828294";https://twitter.com/gs777gs777/status/1008830546338828294;1
gs777gs777;2018-06-18 17:24;7;5;"AMERICANS deserve better than having their JOBS STOLEN by ILLEGALS smuggled in by democRATS. #Blacks especially hate ILLEGAL IMMIGRATION ! Obama did ZERO for Blacks - he just used them for VOTES ! #GreatAwakening #WalkAway pic.twitter.com/iJGumy6K2a";;;#Blacks #GreatAwakening #WalkAway;"1008822893369872384";https://twitter.com/gs777gs777/status/1008822893369872384;0
usminority;2018-06-18 15:42;33;100;"Hey all!! Going live tonight on Facebook around 8-8:30pm w/another red-pilled Gay conservative! Tonight I’ll be interviewing Michael about his experience- tune in tonight & encourage others to follow The Unsilent Minority! And keep sharing that video and hash tagging #WalkAway !!!";;;#WalkAway;"1008797024748294145";https://twitter.com/usminority/status/1008797024748294145;0
1RonnieD;2018-06-18 13:48;41;42;"@DrZuhdiJasser made some incredibly clear points on Levin last night & I was so hopeful American patriots had watched but I believe nowhere near enough watched. I want to make sure my nearly 20k followers have access to these excellent points so they can #WalkAway with confidence";;@DrZuhdiJasser;#WalkAway;"1008768525215961089";https://twitter.com/1RonnieD/status/1008768525215961089;0
actlightning;2018-06-18 12:36;3;2;"Yes, he does have that clue - but he's a Marxicrat, so keeping one's word is NOT part of the program. Comrade ChuckYou will break his word at the drop of a hat. #WalkAway";;;#WalkAway;"1008750379176038400";https://twitter.com/actlightning/status/1008750379176038400;0
texastwins2004;2018-06-18 12:05;78;42;"#cindyism #addiction #swandive #walkaway #quote #lifequotes #redneckgranny "WHEN an ADDICT takes another SWAN dive INTO the GUTTER, and your ARMS are WEARY from PULLING them out, YOU will EVENTUALLY step OFF of the CURB, and WALK away" Amen pic.twitter.com/j1O8bHXVto";;;#cindyism #addiction #swandive #walkaway #quote #lifequotes #redneckgranny;"1008742390096650240";https://twitter.com/texastwins2004/status/1008742390096650240;0
BriBagwell;2018-06-18 11:44;2;52;"My Monday morning beauty routine is HERE Y’ALL!!! #turnoffthelight #dontlook #lastnightsmakeup #walkaway #gomakemoney pic.twitter.com/mUu07nC3qN";;;#turnoffthelight #dontlook #lastnightsmakeup #walkaway #gomakemoney;"1008737271472967683";https://twitter.com/BriBagwell/status/1008737271472967683;0
OpenThePrimary;2018-06-18 09:27;7;9;"What's $100,000,000 x 10? That's how much cash money has flown out of #MSP under #MNGov candidate, Atty Gen #LoriSwanson . If $ for the vulnerable stolen isnt #MinnesotaNice to you MEET @doug_wardlow ! Silent Auction, Q&A, RSVP 6.18 #MAGA #MNGov #TurnMNRed #WalkAway #DrainTheSwamp pic.twitter.com/fdkjhqNaaT";;@doug_wardlow;#MSP #MNGov #LoriSwanson #MinnesotaNice #MAGA #MNGov #TurnMNRed #WalkAway #DrainTheSwamp;"1008702793299972096";https://twitter.com/OpenThePrimary/status/1008702793299972096;0
