username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;retweetornot
YossiSchlussel;2018-07-05 19:56;126;288;". @HikindDov the latest popular democrat to #WalkAway ! This is great. pic.twitter.com/5MvtxppFUh";;@HikindDov;#WalkAway;"1015021666143961088";https://twitter.com/YossiSchlussel/status/1015021666143961088;0
PaulHook_em;2018-07-05 19:55;169;146;"The twisted left has now started a GoFundMe for the liberal fascist that assaulted a teenager for being a conservative. There is no level they won’t stoop to. #WalkAway pic.twitter.com/x5HkoX89OL";;;#WalkAway;"1015021471431888897";https://twitter.com/PaulHook_em/status/1015021471431888897;0
sxdoc;2018-07-05 19:49;573;603;"Rap Sheet: ***70*** Acts of Media-Approved Violence and Harassment Against Trump Supporters; Liberals Only Activity is to Attack Since They Offer No Valid Option Alternative to Trump Success; They Can Only Obstruct and Attack #WalkAway #MAGA http:// bit.ly/2IV2ZV2";;;#WalkAway #MAGA;"1015019823288475649";https://twitter.com/sxdoc/status/1015019823288475649;0
superyayadize;2018-07-05 19:48;186;206;"WAPO equates Veterans & their families with a social drought. That’s all I need to ignore every word they publish & stop using products sold by any of their advertisers #TrumpTrain #BoycottWAPOAdvertisers #WAPOHatesVets #IndependenceDay #WalkAway https://www. washingtonpost.com/news/reliable- source/wp/2018/07/03/the-fourth-of-july-white-house-concert-used-to-be-a-sea-of-stars-for-trump-its-a-drought/ …";;;#TrumpTrain #BoycottWAPOAdvertisers #WAPOHatesVets #IndependenceDay #WalkAway;"1015019698604400640";https://twitter.com/superyayadize/status/1015019698604400640;0
DebAlwaystrump;2018-07-05 19:48;49;53;"Breaking News Democrats announced their new name Democrat Socialists of America #WalkAway #DemExit run away as fast as you can and VOTE RED or end up eating out of garbage starving like Cuba & Venezuala which used 2B one of the richest countries in the World pic.twitter.com/qxJZkxrmwo";;;#WalkAway #DemExit;"1015019591062491137";https://twitter.com/DebAlwaystrump/status/1015019591062491137;0
hrtablaze;2018-07-05 19:45;136;200;"Fredrick Douglas was an anti-slavery activist in his time, yet Democrats never talk about him, Geez , I wonder why? Been reading alot about him, damn shame so many are ignorant about his lifes work. #WalkAway #BlacksForTrump #BlackLivesMatter #MAGA #Patriotsunited pic.twitter.com/gUH8Y3hGgY";;;#WalkAway #BlacksForTrump #BlackLivesMatter #MAGA #Patriotsunited;"1015018918098792448";https://twitter.com/hrtablaze/status/1015018918098792448;0
2runtherace;2018-07-05 19:45;85;115;"Very interesting item from the board related to Scott Pruitt’s resignation from the EPA, President Trump’s tweet today, and this previous Q drop!! #WhoIsQ #QAnon #WalkAway #WWG1WGA #GreatAwakening @realDonaldTrump pic.twitter.com/U28uhq9nu4";;@realDonaldTrump;#WhoIsQ #QAnon #WalkAway #WWG1WGA #GreatAwakening;"1015018766105763841";https://twitter.com/2runtherace/status/1015018766105763841;0
kdlewis04;2018-07-05 19:44;40;98;"How come no one is talking about that beautiful brave black woman that shot the carjacker in the the face with her pistol? Is it because she's black or because she had a pistol? Inquiring minds want to know. #WalkAway";;;#WalkAway;"1015018516465012737";https://twitter.com/kdlewis04/status/1015018516465012737;0
TheGoldWaterUS;2018-07-05 19:38;1142;1346;"ICE Opens 90 Cases into $26.5 Million in Drugs and Firearms around the US Yet @TheDemocrats want to #AbolishICE ? #Trump2020 #KAG #Trump #TrumpRally #ICE #MAGA #VoteDemsOut #NeverSurrender #WitchHunt #WINNING #WalkAway #Thankyou @ICEgov We SUPPORT You! https:// thegoldwater.com/news/30521-ICE -Opens-90-Cases-into-26-5-Million-in-Drugs-and-Firearms-around-the-US …";;@TheDemocrats @ICEgov;#AbolishICE #Trump2020 #KAG #Trump #TrumpRally #ICE #MAGA #VoteDemsOut #NeverSurrender #WitchHunt #WINNING #WalkAway #Thankyou;"1015017012203048968";https://twitter.com/TheGoldWaterUS/status/1015017012203048968;0
AnnaApp91838450;2018-07-05 19:37;35;59;"Dam Straight Thank You #MAGA #WalkAway #AmericaFirst #AnnaLovesTrump #TrumpsSuperElites pic.twitter.com/syRMh2PLxP";;;#MAGA #WalkAway #AmericaFirst #AnnaLovesTrump #TrumpsSuperElites;"1015016966690623488";https://twitter.com/AnnaApp91838450/status/1015016966690623488;0
chfortrump;2018-07-05 19:35;304;279;"DNC Chairman: Socialism Is the Future of Our Party #WalkAway ! NOW ! #VoteDemsOut https://www. westernjournal.com/dnc-chairman-s ocialism-is-the-future-of-our-party/amp/?utm_source=Twitter&utm_medium=PostTopSharingButtons&utm_content=2018-07-05&utm_campaign=websitesharingbuttons&__twitter_impression=true …";;;#WalkAway #VoteDemsOut;"1015016458898821121";https://twitter.com/chfortrump/status/1015016458898821121;0
beth2_k3;2018-07-05 19:35;23;25;"America has worked so hard to rid ourselves of these diseases ; it's shameful Democrats promote the diseases - do they think their children/grandchildren will be immune from them. I think NOT... #WalkAway from this stupidity and return power to the people where it belongs, https:// twitter.com/crickafer00/st atus/1015005610037927936 …";;;#WalkAway;"1015016239880720384";https://twitter.com/beth2_k3/status/1015016239880720384;1
my3monkees;2018-07-05 19:31;58;303;"I’m LOVING this #walkaway hashtag! Making so many new twitter friends a special shout out to all of my Latino and black brothers and sisters!!";;;#walkaway;"1015015455227072512";https://twitter.com/my3monkees/status/1015015455227072512;0
AnnaApp91838450;2018-07-05 19:28;592;921;"He's On Fire President Trump Loves America And Fights His A$$ Off For His Patriots Daily #MAGA #KAG2020 #WalkAway #AmericaFirst #AnnaLovesTrump #TrumpsSuperElites https:// twitter.com/FoxNews/status /1015003234514153473 …";;;#MAGA #KAG2020 #WalkAway #AmericaFirst #AnnaLovesTrump #TrumpsSuperElites;"1015014550226243586";https://twitter.com/AnnaApp91838450/status/1015014550226243586;1
