username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;retweetornot
DrChrisMetzler;2018-08-06 17:18;16;66;"Here's a little #MondayMotivation for everyone. Who's triggered? #MAGA #WalkAway #Trump #Politics #notmypresident #PresidentTrump #TRIGGER pic.twitter.com/XtY1EcZtMa";;;#MondayMotivation #MAGA #WalkAway #Trump #Politics #notmypresident #PresidentTrump #TRIGGER;"1026578314180222976";https://twitter.com/DrChrisMetzler/status/1026578314180222976;0
flyer1618;2018-08-06 16:24;387;617;"When you know the Sword of Damocles is about to fall! #maga @potus #WWG1WGA #qanon #JoeBiden #BarackObama #Hussein #walkaway #ccot #mondaythoughts #TheResistance #BlueWaveComing2018 #Qanon8chan #Server pic.twitter.com/c0AZfFflQO";;@potus;#maga #WWG1WGA #qanon #JoeBiden #BarackObama #Hussein #walkaway #ccot #mondaythoughts #TheResistance #BlueWaveComing2018 #Qanon8chan #Server;"1026564777068384257";https://twitter.com/flyer1618/status/1026564777068384257;0
Elizzy_91;2018-08-06 16:16;0;1;"Es ist dieses Buchmonster hier! #Walkaway pic.twitter.com/PwKDY84s1G";;;#Walkaway;"1026562760166002688";https://twitter.com/Elizzy_91/status/1026562760166002688;0
DoRtChristians;2018-08-06 15:38;158;198;"The reason Global Tech Giants are censoring Alex Jones & Infowars is because they are desperate to get the House & Senate back, & right now preventing Infowars from challenging the liberal agenda is more important than the consequences of attacking Free Speech #MAGA #WalkAway #1A";;;#MAGA #WalkAway #1A;"1026553201519091713";https://twitter.com/DoRtChristians/status/1026553201519091713;0
247razz;2018-08-06 13:31;84;560;"Assclowns like that is why I’ll never be anything close to a Democratic again or have anything to do with anyone tied to liberals. #walkaway";;;#walkaway;"1026521127995224064";https://twitter.com/247razz/status/1026521127995224064;0
flyer1618;2018-08-06 13:15;236;376;"If it walks like a duck... #maga #NewYorkTimes #MondayThoughts #qanon #walkaway #wwg1wga #TheGreatAwakening #ccot #TheResistance #BlueWaveComing2018 #tcot @potus pic.twitter.com/vRgXNXXKL6";;@potus;#maga #NewYorkTimes #MondayThoughts #qanon #walkaway #wwg1wga #TheGreatAwakening #ccot #TheResistance #BlueWaveComing2018 #tcot;"1026517020446216199";https://twitter.com/flyer1618/status/1026517020446216199;0
Montel_Williams;2018-08-06 13:08;186;687;"Anyone else a little amused by the Trumpers tweeting #WalkAway , which is being actively promoted by Russian intel?";;;#WalkAway;"1026515459007545344";https://twitter.com/Montel_Williams/status/1026515459007545344;0
HealingMB;2018-08-06 13:00;64;175;"I am learning to love the sound of my feet .. #Mindfulness #WalkAway #innerpeace pic.twitter.com/CVc8tWYV1T";;;#Mindfulness #WalkAway #innerpeace;"1026513376137101312";https://twitter.com/HealingMB/status/1026513376137101312;0
Darla61a;2018-08-06 12:39;13;43;"As an independent voter, I could never support a party that espouses this idealogy.This is why the Democratic Socialist Communist party will not win in November. #WalkAway #DeathofaNation";;;#WalkAway #DeathofaNation;"1026507982601781248";https://twitter.com/Darla61a/status/1026507982601781248;0
steveavonloor;2018-08-06 12:18;154;203;"A Night to #WalkAway NC 4th September 6th @6:00PM Raleigh, NC Great night with Amazing Patriots. Get your tickets Now! Click the link below. http:// steveavonloor.org/event/walk-awa y-nc-4th/ … pic.twitter.com/BJVktic2s1";;@6;#WalkAway;"1026502702422024194";https://twitter.com/steveavonloor/status/1026502702422024194;0
HealingMB;2018-08-06 12:00;95;215;"Don't let others with toxic emotions affect your mental health ... #WalkAway #InnerPeace #BrainPollution #LifeLesson pic.twitter.com/9sBkl0sXvB";;;#WalkAway #InnerPeace #BrainPollution #LifeLesson;"1026498219273007109";https://twitter.com/HealingMB/status/1026498219273007109;0
BIG_George_NYC;2018-08-06 11:04;514;1783;"This is NOT peaceful protesting. This is violent and dangerous. Why are they not under arrest? What is this country coming to? We need to stop this now. Dear Americans, do you NOT hear what these protesters are saying? It is time to #WalkAway from anyone who supports this!";;;#WalkAway;"1026484069603975168";https://twitter.com/BIG_George_NYC/status/1026484069603975168;0
MetalGram68;2018-08-06 10:50;11;93;"Maybe you should try speaking the truth!! I bet we would all handle it just fine. Sad to see what you've become. #TruthShallSetYouFree #WalkAway #Shame";;;#TruthShallSetYouFree #WalkAway #Shame;"1026480734683516931";https://twitter.com/MetalGram68/status/1026480734683516931;0
kbari12;2018-08-06 08:39;4;3;"Senator Dianne Feinstein #Feinstein Driver was s Spy from China on Payroll #MondayMotivation #MorningJoe #WalkAway @jeffsessions @TheJusticeDept";;@jeffsessions @TheJusticeDept;#Feinstein #MondayMotivation #MorningJoe #WalkAway;"1026447693701427201";https://twitter.com/kbari12/status/1026447693701427201;0
quilling_susan;2018-08-06 00:26;0;0;"#BlueWave2018 #BlueWave2018 Debbie Wasserman Schultz @DWasserpersonS #DemsWork4USA #WalkAway @HillaryClinton = #WhatAreTheyHiding https:// twitter.com/kathyja7492132 3/status/1026284654465171461 …";;@DWasserpersonS @HillaryClinton;#BlueWave2018 #BlueWave2018 #DemsWork4USA #WalkAway #WhatAreTheyHiding;"1026323656706863104";https://twitter.com/quilling_susan/status/1026323656706863104;1
steveavonloor;2018-08-05 23:30;172;228;"RT and tag everyone in NC. Let’s help Americans living in the 4th Congressional District to #WalkAway . http:// steveavonloor.org/event/walk-awa y-nc-4th/ … pic.twitter.com/qeoTuzq7rt";;;#WalkAway;"1026309613631807488";https://twitter.com/steveavonloor/status/1026309613631807488;0
AprilRose1972;2018-08-05 21:03;22;45;"Time to #WalkAwayFromRepublicans because they are RUNNING to Putin! #WalkAway #TW #TrumpRussia pic.twitter.com/ebdrXa4oWF";;;#WalkAwayFromRepublicans #WalkAway #TW #TrumpRussia;"1026272400143474689";https://twitter.com/AprilRose1972/status/1026272400143474689;0
atn_sema;2018-08-05 20:43;59;117;"What will make you #WalkAway from @GOP ? Help Make America Great Again. #WalkAwayFromRepublicans #TW pic.twitter.com/qsoezgZVZG";;@GOP;#WalkAway #WalkAwayFromRepublicans #TW;"1026267594075058176";https://twitter.com/atn_sema/status/1026267594075058176;0
action2gethersc;2018-08-05 20:25;38;62;"Trump is a disgrace, seems like everyone is saying it, even some Generals. We can do better than this; we can #WalkAway #WalkAwayFromRepublicans #TW pic.twitter.com/NwZApWY7Z0";;;#WalkAway #WalkAwayFromRepublicans #TW;"1026263045570482176";https://twitter.com/action2gethersc/status/1026263045570482176;0
action2gethersc;2018-08-05 20:25;72;99;"If seeing children in cages broke your heart, don't turn away, #WalkAway #WalkAwayFromRepublicans #TW #FamiliesBelongTogether pic.twitter.com/CtYGZf3Mv8";;;#WalkAway #WalkAwayFromRepublicans #TW #FamiliesBelongTogether;"1026262961462169600";https://twitter.com/action2gethersc/status/1026262961462169600;0
Conunderground;2018-08-06 19:05;19;21;"#MSM , desperate to cover up bombshell that senior intel. committee Democrat Diane Feinstein had a Chinese Spy driver for 20 years, is trying to make this about #Trump ! #Walkaway pic.twitter.com/vKmtj2Kj1X";;;#MSM #Trump #Walkaway;"1026605089333633024";https://twitter.com/Conunderground/status/1026605089333633024;0
