username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;retweetornot
Mandy63702559;2018-07-28 19:55;290;309;"I've been shadowbanned on my account of 38,000 followers. Please follow and retweet @mandytrumpteam I will followback all Trump supporters. #MAGA #KAG2020 It's time to #WalkAway from the party of fascism and totalitarianism! #AllAboardTheTrumpTrain pic.twitter.com/Km6gUQ6d3w";;@mandytrumpteam;#MAGA #KAG2020 #WalkAway #AllAboardTheTrumpTrain;"1023356296060444674";https://twitter.com/Mandy63702559/status/1023356296060444674;0
RodStryker;2018-07-28 19:51;300;473;"Public Service Announcement: #WalkAway from Clintons Before you end up killed. pic.twitter.com/7FaXMT8l8I";;;#WalkAway;"1023355411888566275";https://twitter.com/RodStryker/status/1023355411888566275;0
dawg_lb;2018-07-28 19:36;130;144;"Do not be a part of the losing strategy #WalkAwayFromDemocrats be a winner #RedWave2018 ! @POTUS @VP #AmericaFirst #WalkAway @kayleighmcenany : Democrats' love of socialism is a losing strategy – but they foolishly follow it anyway https:// fxn.ws/2mQXSg4 pic.twitter.com/Y7zVL1xkCc";;@POTUS @VP @kayleighmcenany;#WalkAwayFromDemocrats #RedWave2018 #AmericaFirst #WalkAway;"1023351486854520832";https://twitter.com/dawg_lb/status/1023351486854520832;0
jetrotter;2018-07-28 19:31;137;181;"How Will This End? #WalkAway pic.twitter.com/ep1wtcC5q6";;;#WalkAway;"1023350342631809024";https://twitter.com/jetrotter/status/1023350342631809024;0
RedNationRising;2018-07-28 19:16;114;203;"Did Democrat policies #ForThePeople Bring Tax Relief? Bring Steel jobs back? Bring Energy jobs back? Reduce job-killing Regulations? Reduce unemployment to historic lows? NO @realDonaldTrump is doing a fantastic job getting us back on track. #WalkAway and help us MAGA pic.twitter.com/2oZZnXmyms";;@realDonaldTrump;#ForThePeople #WalkAway;"1023346502796759040";https://twitter.com/RedNationRising/status/1023346502796759040;0
AnnaApp91838450;2018-07-28 18:57;768;1253;"Patriots Rally With Me For A Real Pro Dallas Cowboys Quarterback Respect / He's A Great Example Of The Best Of America And Those That Love Our Flag Thank You For Standing With 63+ Million! RT #MAGA #WalkAway #VoteDemsOut #AmericaFirst #TrumpsSuperElites pic.twitter.com/tqD014u3mU";;;#MAGA #WalkAway #VoteDemsOut #AmericaFirst #TrumpsSuperElites;"1023341750453239808";https://twitter.com/AnnaApp91838450/status/1023341750453239808;0
RVAwonk;2018-07-28 18:48;80;141;"You can read about astroturfing in my article on the astroturfed " #WalkAway Movement" ( https:// arcdigital.media/pro-trump-russ ian-linked-twitter-accounts-are-posing-as-ex-democrats-in-new-astroturfed-movement-20359c1906d3 … ) ... and then listen to @SXMPOTUS ch. 124 at 7:30 pm to hear us talk about how astroturfing works, why you should care about it, and why it thrives on social media. https:// twitter.com/pubstory/statu s/1023334856493854721 …";;@SXMPOTUS;#WalkAway;"1023339396198789122";https://twitter.com/RVAwonk/status/1023339396198789122;1
creepingsharia;2018-07-28 18:44;170;89;"Watch #Dem @RepMaxineWaters defending #sharia law at a Muslim town hall, proudly exclaiming she was inspired by then corrupt and now convicted ex-Sheriff Lee Baca https:// creepingsharia.wordpress.com/2012/08/08/cal ifornia-lawmakers-law-enforcement-heads-urged-support-for-sharia-law/ … … #NoBrainer #WalkAway pic.twitter.com/li60LtBNmj";;@RepMaxineWaters;#Dem #sharia #NoBrainer #WalkAway;"1023338409736192000";https://twitter.com/creepingsharia/status/1023338409736192000;0
LadyKnightFury;2018-07-28 18:43;232;254;"Defending those who abuse and enslave you is called Stockholm Syndrome. It’s a mind control factor in the cycle of abuse. Break free #WalkAway pic.twitter.com/L6wTxWuexY";;;#WalkAway;"1023338145151111169";https://twitter.com/LadyKnightFury/status/1023338145151111169;0
AnnInquirer;2018-07-28 18:38;47;57;"Look at all those #RussianBots filling these stadiums in 2016 to see Comrade Trump. #TrumpDerangementSyndrome #MuellerWitchHunt #RussianCollusion #WalkAway from MSM lies & hysteria #Fearmongers . @CNN . @maddow . @TheView . @amjoyshow pic.twitter.com/kYXY780xlV";;@CNN @maddow @TheView @amjoyshow;#RussianBots #TrumpDerangementSyndrome #MuellerWitchHunt #RussianCollusion #WalkAway #Fearmongers;"1023336861773844483";https://twitter.com/AnnInquirer/status/1023336861773844483;0
bonniemurphy;2018-07-28 18:35;780;961;"Explain this sh$t to me: Jump a fence at the #DNC and you get arrested... Jump a fence at the border and you get invited to the #DNC !! Just #WalkAway pic.twitter.com/ak6LyxxubY";;;#DNC #DNC #WalkAway;"1023336107482787840";https://twitter.com/bonniemurphy/status/1023336107482787840;0
bonniemurphy;2018-07-28 18:30;991;1376;"What the hell happened to the #Democrat Party my Grandparents adored & parents campaigned for in college??? #WalkAway - I had to - I never dreamed it would get to this extreme! pic.twitter.com/j7Ig4kC8gr";;;#Democrat #WalkAway;"1023334901859450880";https://twitter.com/bonniemurphy/status/1023334901859450880;0
hfinch61;2018-07-28 18:28;37;84;"The more they push their crazy, the more they throw insults, the more they back insane policies like fed wage for every person, abolish ice, & make private health insurance illegal, & make communists like ocasio-cortez their poster girl, normal sane Americans will #WalkAway";;;#WalkAway;"1023334318045847559";https://twitter.com/hfinch61/status/1023334318045847559;0
JessieJaneDuff;2018-07-28 18:21;1458;2645;"The left makes a false charge of racism to fuel their fire of hate against President Trump. Power isn't given away freely and the left will say anything to get it back. Read @DineshDSouza interview with a white supremacist then #WalkAway from the lies. http://www. foxnews.com/opinion/2018/0 7/27/dinesh-dsouza-if-think-trump-is-white-supremacist-should-talk-to-real-one.amp.html?__twitter_impression=true …";;@DineshDSouza;#WalkAway;"1023332750059823105";https://twitter.com/JessieJaneDuff/status/1023332750059823105;0
lovebaldeagles;2018-07-28 18:16;48;47;"WE NEED ICE, #WALKAWAY , RED WAVE RISING, KAG2020 https:// twitter.com/JudicialWatch/ status/1023328997852114944 …";;;#WALKAWAY;"1023331414371196928";https://twitter.com/lovebaldeagles/status/1023331414371196928;1
SKYRIDER4538;2018-07-28 18:07;247;391;"Introducing @ericchurch , the soon to be the new member of the @Dixiechicks . He’s not “ready to make nice”! lol #EricChurch #2ADefenders #NRA #LiberalismIsAMentalDisorder #WalkAway #VoteRed2018 pic.twitter.com/ueO2lkGgqE";;@ericchurch @Dixiechicks;#EricChurch #2ADefenders #NRA #LiberalismIsAMentalDisorder #WalkAway #VoteRed2018;"1023329095353069568";https://twitter.com/SKYRIDER4538/status/1023329095353069568;0
HealingMB;2018-07-28 18:00;115;284;"It's hard to win an argument with a smart person but it's .. #Mindfulness #LifeLessons #WalkAway pic.twitter.com/8cNo3tvUNG";;;#Mindfulness #LifeLessons #WalkAway;"1023327261846581249";https://twitter.com/HealingMB/status/1023327261846581249;0
LadyRedWave;2018-07-28 17:59;423;427;"Let's all take a ride in The Way Back Machine!! Remember THIS! Obama is applauded & #Trump is vilified. WTH is wrong with so many in this country!? #WakeUp #WalkAway #VoteRed #SupportPOTUS pic.twitter.com/TrB56erMsv";;;#Trump #WakeUp #WalkAway #VoteRed #SupportPOTUS;"1023327063053238272";https://twitter.com/LadyRedWave/status/1023327063053238272;0
OldManStoneZone;2018-07-28 17:50;153;206;"Yep, another great day in America, my America, & your America. You would think the #BlueDrip Democrats would have figured it out, elections have consequences. In this case America wins, which means you win. #WalkAway today. #AmericaFirst #MAGA #Kag #OldManStoneZone pic.twitter.com/exJT1XV8DB";;;#BlueDrip #WalkAway #AmericaFirst #MAGA #Kag #OldManStoneZone;"1023324965708464128";https://twitter.com/OldManStoneZone/status/1023324965708464128;0
JohnCooper0610;2018-07-28 17:08;72;94;"We sure have come a long way haven't we? #WalkAway pic.twitter.com/6KL3LTZI4R";;;#WalkAway;"1023314154713755649";https://twitter.com/JohnCooper0610/status/1023314154713755649;0
TWGroupsWarrior;2018-07-28 19:26;47;52;"Great roomies. #StrongerTogether #WalkAway @JimkblakeJames @AJ_ALABAMA1 @Navy_Lady_45 @EXPECT_KA0S @Solmemes1 @HernandoDeSot11 @TiffanyAchilles @SteveBjortvedt @SteveMurphy921 @fierritousa pic.twitter.com/aENbz1UH2k";;@JimkblakeJames @AJ_ALABAMA1 @Navy_Lady_45 @EXPECT_KA0S @Solmemes1 @HernandoDeSot11 @TiffanyAchilles @SteveBjortvedt @SteveMurphy921 @fierritousa;#StrongerTogether #WalkAway;"1023349045836701696";https://twitter.com/TWGroupsWarrior/status/1023349045836701696;0
STUinSD;2018-07-28 19:25;18;21;"The #NeverTrumpers and other fools are just driving more normal Democrats to #WalkAway . Excellent thread https:// twitter.com/hfinch61/statu s/1023331936771735552 …";;;#NeverTrumpers #WalkAway;"1023348672199712768";https://twitter.com/STUinSD/status/1023348672199712768;1
NewsPuppet;2018-07-28 19:17;21;13;"#FollowTheWhiteRabbit #QAnon #GreatAwakening #SpyGate #MAGA #IGReport #WalkAway Trump Tower #Hannity #Tucker Rudy Giuliani #MissionImpossible Les Moonves https://www. puppetstringnews.com/blog/400-peopl e-missing-in-iowa-over-half-of-them-are-children … 400 people missing in Iowa over half of them are children pic.twitter.com/1PQ3hAa2Nh";;;#FollowTheWhiteRabbit #QAnon #GreatAwakening #SpyGate #MAGA #IGReport #WalkAway #Hannity #Tucker #MissionImpossible;"1023346731130318848";https://twitter.com/NewsPuppet/status/1023346731130318848;0
strup2823;2018-07-28 19:11;15;27;"Why I’m not a Democrat anymore. #walkaway pic.twitter.com/hdINYPdYUS";;;#walkaway;"1023345305495003138";https://twitter.com/strup2823/status/1023345305495003138;0
DudaPhillis;2018-07-28 18:56;15;53;"The previous 4 presidents Obama, George W Bush, Bill Clinton, & George H W Bush were all part of the NWO, not a Nationalist as Mighty President Trump is. So, No their actions were not to make America a Great Sovereign Nation. #TrumpWorldGroups #WalkAway";;;#TrumpWorldGroups #WalkAway;"1023341448047951872";https://twitter.com/DudaPhillis/status/1023341448047951872;0
jacob13088;2018-07-28 18:52;40;60;"#WalkAwayFromDemocrats #MAGA #WalkAway #dnc #Democrats #freethinkers This is something that is happening every day all because I choose to think for myself. pic.twitter.com/khW22xDnic";;;#WalkAwayFromDemocrats #MAGA #WalkAway #dnc #Democrats #freethinkers;"1023340510260412417";https://twitter.com/jacob13088/status/1023340510260412417;0
SKYRIDER4538;2018-07-28 18:48;51;75;"And if they don’t have the money to pay the fine, would an attorney be available to them pro bono? And what if they smuggled plastic straws? So many questions! What is more important, votes or saving #California from #Straws #LiberalismIsAMentalDisorder #VoteRed #WalkAway";;;#California #Straws #LiberalismIsAMentalDisorder #VoteRed #WalkAway;"1023339397989785600";https://twitter.com/SKYRIDER4538/status/1023339397989785600;0
hfinch61;2018-07-28 18:45;19;40;"#walkaway #WalkAwayFromDemocrats https:// twitter.com/vabelle2010/st atus/1023335321033949184 …";;;#walkaway #WalkAwayFromDemocrats;"1023338620739051520";https://twitter.com/hfinch61/status/1023338620739051520;1
Nosafetypinneed;2018-07-28 18:42;11;12;"ROFL. It's truly amazing how many liberals responded that this news story is a bad thing. #WakeUpAmerica and #WalkAway . MSM and the Democrat Party have destroyed your ability to reason. A little girl raised $2000 for a local VA is a good thing, not something to rant about. https:// twitter.com/CBSNews/status /1023307932384063488 …";;;#WakeUpAmerica #WalkAway;"1023337861913800705";https://twitter.com/Nosafetypinneed/status/1023337861913800705;1
steveavonloor;2018-07-28 18:31;46;57;"My friend Brandon, the founder of #WalkAway Campaign will come to NC. Let us know what city should host this event. @usminority";;@usminority;#WalkAway;"1023335189378990085";https://twitter.com/steveavonloor/status/1023335189378990085;0
pubstory;2018-07-28 18:30;13;28;"What is #astroturfing & what does it have to do w/ #walkaway ? @RVAwonk joins @JMLudes & @gwaynemiller to explain on @SXMPOTUS ch. 124 at 7:30 p.m. for more. http:// ow.ly/h3SY30l68yd pic.twitter.com/slg9obzpF1";;@RVAwonk @JMLudes @gwaynemiller @SXMPOTUS;#astroturfing #walkaway;"1023334856493854721";https://twitter.com/pubstory/status/1023334856493854721;0
hfinch61;2018-07-28 18:23;39;78;"The more people like @jamusb & Bill Kristol & others like them push tinfoil hat insane conspiracy theories, the SANE people in the center that make up 30% of Americans will #WalkAway from never Trump liars & crazy violent d's. #WalkAwayFromDemocrats";;@jamusb;#WalkAway #WalkAwayFromDemocrats;"1023333062577475585";https://twitter.com/hfinch61/status/1023333062577475585;0
Trumptrain60;2018-07-28 18:22;10;10;"Please follow me back. I followed you. It only works if we follow each other back. Thanks. #MAGA #WalkAway pic.twitter.com/HDOSS1gYE5";;;#MAGA #WalkAway;"1023332787158441990";https://twitter.com/Trumptrain60/status/1023332787158441990;0
TrumpSuperPAC;2018-07-28 18:19;23;30;"California City Passes Bill That Could Lead to Jail Time for Selling Plastic Straws! #WalkAway #MAGA #TRUMP https:// people.com/food/santa-bar bara-plastic-straw-ban-bill-jail-time/?utm_source=twitter.com&utm_medium=social&utm_campaign=social-button-sharing … pic.twitter.com/CCQuHh0a8W";;;#WalkAway #MAGA #TRUMP;"1023332174802628609";https://twitter.com/TrumpSuperPAC/status/1023332174802628609;0
Trumptrain60;2018-07-28 18:15;37;47;"This is another GREAT GROUP of PATRIOTS. Please follow me back, as I followed you. Thanks. RT this Please. #MAGA #WalkAway pic.twitter.com/xBDhpPBFs8";;;#MAGA #WalkAway;"1023331083595722752";https://twitter.com/Trumptrain60/status/1023331083595722752;0
mollyday15;2018-07-28 18:13;23;26;"Her ignorance will defeat her. #DumbAsABoxOfRocks #WalkAway #Democrat_Communist #UnhingedDemocratParty WRONG: Socialist Ocasio-Cortez Claims '200 Million Americans Make Less Than $20K a Year' https://www. mrctv.org/blog/wrong-soc ialist-ocasio-cortez-claims-200-million-americans-make-less-20k-year#.W1zqB1cnwuQ.twitte …";;;#DumbAsABoxOfRocks #WalkAway #Democrat_Communist #UnhingedDemocratParty #;"1023330586230972417";https://twitter.com/mollyday15/status/1023330586230972417;0
AvonSalez;2018-07-28 18:09;25;35;"#PatriotsFight #MAGA #DrainTheSwamp #QAnon #WWG1WGA #FakeNews #QArmy #WalkAway #SpyGate #NowComesThePAIN #ReleaseTheCures #DeclassifyFISA #FridayFeeling #NationalNewJerseyDay @NoBrainer #LunarEclipse #SignsYourVacationIsTooLong @realDonaldTrump @POTUS pic.twitter.com/Rmaqc9tDbC";;@NoBrainer @realDonaldTrump @POTUS;#PatriotsFight #MAGA #DrainTheSwamp #QAnon #WWG1WGA #FakeNews #QArmy #WalkAway #SpyGate #NowComesThePAIN #ReleaseTheCures #DeclassifyFISA #FridayFeeling #NationalNewJerseyDay #LunarEclipse #SignsYourVacationIsTooLong;"1023329577551253505";https://twitter.com/AvonSalez/status/1023329577551253505;0
PeggyBlanton2;2018-07-28 18:03;7;53;"So many more important problems that plastic straws ! Flip it RED #WalkAway";;;#WalkAway;"1023328049763426304";https://twitter.com/PeggyBlanton2/status/1023328049763426304;0
rphfrank;2018-07-28 17:35;12;59;"Don't just #WalkAway , RUN!";;;#WalkAway;"1023321187814912001";https://twitter.com/rphfrank/status/1023321187814912001;0
SusieCa0096469S;2018-07-28 17:21;16;17;"Philadelphians: You should be OUTRAGED that your mayor isn't allowing ICE to access the police arrest database He won't allow cooperation with law enforcement. Be prepared for criminality to be on the upswing. Oh the INSANITY of the left #WalkAway";;;#WalkAway;"1023317601123008514";https://twitter.com/SusieCa0096469S/status/1023317601123008514;0
hfinch61;2018-07-28 17:20;28;47;"Thread. The left are dangerous & insane. I implore sane people to #WalkAwayFromDemocrats #WalkAway https:// twitter.com/ThomasWictor/s tatus/1023285069887107072 …";;;#WalkAwayFromDemocrats #WalkAway;"1023317416644935680";https://twitter.com/hfinch61/status/1023317416644935680;1
RAMMAGAQanon;2018-07-28 17:17;3;1;"#GodBlessAmerica #GodBlessOurTroops #GodBlessOurVeterans #GodBlessOurMilitary #GodIsGreat #MAGA #WalkAway #KAG #WWG1WGA Amen Hallelujah pic.twitter.com/wcJ2lBTEYg";;;#GodBlessAmerica #GodBlessOurTroops #GodBlessOurVeterans #GodBlessOurMilitary #GodIsGreat #MAGA #WalkAway #KAG #WWG1WGA;"1023316589775663105";https://twitter.com/RAMMAGAQanon/status/1023316589775663105;0
RedPillBlackMan;2018-07-28 17:17;73;207;"I don't consider myself a big shot but I'm appalled by constant censor in retweeting and removing of my following. Bottomline I'm happy because I know my voice is pissing off the liberal world. #WalkAway #MAGA 2018 midterms.";;;#WalkAway #MAGA;"1023316472439828480";https://twitter.com/RedPillBlackMan/status/1023316472439828480;0
SKYRIDER4538;2018-07-28 16:43;123;159;"And that’s exactly who we need. One that better interprets the statutes, interprets as they were meant by those who wrote them! #ConfirmKavanaugh #VoteRed #WalkAway";;;#ConfirmKavanaugh #VoteRed #WalkAway;"1023308059735740416";https://twitter.com/SKYRIDER4538/status/1023308059735740416;0
Can2geterdone;2018-07-28 16:43;311;313;"Judge Blocks US Withholding of Funds From Sanctuary Cities Another political ruling by a leftist tin horn judge. There needs to be consequences for judges that make unconstitutional decisions. #MAGA @Potus #QAnon #WalkAway https://www. newsmax.com/newsfront/sanc tuary-city-funding-court/2018/07/28/id/874273/ … #Newsmax via @Newsmax_Media";;@Potus @Newsmax_Media;#MAGA #QAnon #WalkAway #Newsmax;"1023307956169924609";https://twitter.com/Can2geterdone/status/1023307956169924609;0
mjULTRA3;2018-07-28 16:40;75;97;"We have reached peak lunacy, folks. If you are struggling to comprehend what it is you are looking at, you are not alone. #qanon #bluewave #walkaway pic.twitter.com/2d26U7ck4h";;;#qanon #bluewave #walkaway;"1023307251329654785";https://twitter.com/mjULTRA3/status/1023307251329654785;0
Can2geterdone;2018-07-28 16:35;216;277;"Return by NK of possible remains stir relatives' hopes This is a great indication that NK will move forward on its commitments to denuclearization. Why hasn't the MSN talked about this. It's a huge deal. #MAGA @Potus #QAnon #WalkAway #WWG1WGA https:// fxn.ws/2uUDGho #FoxNews";;@Potus;#MAGA #QAnon #WalkAway #WWG1WGA #FoxNews;"1023305925212479488";https://twitter.com/Can2geterdone/status/1023305925212479488;0
Diptastick;2018-07-28 16:27;196;253;"No Pedo Bashing? Really @DNC #QANON #WalkAway before this gets ugly. All Pedos should hang! pic.twitter.com/zYry60JwgW";;@DNC;#QANON #WalkAway;"1023303949737062400";https://twitter.com/Diptastick/status/1023303949737062400;0
sweetweetertot2;2018-07-28 16:21;22;82;"Mad Maxine is a gift to conservatives. She exemplifies everything center left Dems are walking away from. Keep it Maxine. The more she opens her mouth the more people #WalkAway";;;#WalkAway;"1023302406254325766";https://twitter.com/sweetweetertot2/status/1023302406254325766;0
LaylaAlisha11;2018-07-28 16:18;253;287;"Let’s Unite All Patriots with a Common goal! Follow All Conservatives, Patriots, #WalkAway Folks & Trump Supporters. Encourage EVERYONE to GET TO THE POLLS in NOVEMBER & VOTE RED! Help our @POTUS get a big GOP majority! If we don’t we will lose everything! Dems will destroy USA!";;@POTUS;#WalkAway;"1023301664994942976";https://twitter.com/LaylaAlisha11/status/1023301664994942976;0
hodgetwins;2018-07-28 16:09;693;1773;"Maxine Waters was sent by God!Hodgetwins Reaction #walkaway #MAGA #hodgetwins #lies #chruch #conservative pic.twitter.com/xkOXGBX2Nl";;;#walkaway #MAGA #hodgetwins #lies #chruch #conservative;"1023299360229142528";https://twitter.com/hodgetwins/status/1023299360229142528;0
elguapo64;2018-07-28 16:08;461;639;"Candace Owens on Racism #LiberalismIsAMentalDisease #ELG #WalkAway pic.twitter.com/R03HSpZ7M6";;;#LiberalismIsAMentalDisease #ELG #WalkAway;"1023299278842683392";https://twitter.com/elguapo64/status/1023299278842683392;0
BL_Bledsoe;2018-07-28 15:50;28;152;"I didn't know #AnneHathaway was black? Because I thought white people's opinion on the black community are invalid or I guess it's only when those opinions are inconvenient #AnneWithAnE #WalkAway #TCOT";;;#AnneHathaway #AnneWithAnE #WalkAway #TCOT;"1023294700407742464";https://twitter.com/BL_Bledsoe/status/1023294700407742464;0
_The_Watchers_;2018-07-28 15:29;86;128;"#QAnon #WalkAway #GreatAwakening @POTUS DO YOU NOT UNDERSTAND/COMP WHAT WE ARE CURRENTLY DEALING WITH? PEOPLE ARE DYING. WE ARE UNDER THREAT OF KILL EVERY SECOND OF THE DAY. THOSE WHO YOU TRUST THE MOST ARE THE MOST EVIL. THIS IS NOT A GAME. HUMMANITY IS AT STAKE. pic.twitter.com/QQoy4jk4lE";;@POTUS;#QAnon #WalkAway #GreatAwakening;"1023289477534494722";https://twitter.com/_The_Watchers_/status/1023289477534494722;0
OldManStoneZone;2018-07-28 15:28;121;99;"Yep, #WakeUpGeorgia If you want #Georgia to be an east coast California, just stay home in November. Better choice, save Georgia from the #BlueDrip . Get out & #VoteRed2018 for @BrianKempGA #Midterms2018 #VoteRed #WalkAway #OldManStoneZone https:// twitter.com/thecjpearson/s tatus/1023039273031925761 …";;@BrianKempGA;#WakeUpGeorgia #Georgia #BlueDrip #VoteRed2018 #Midterms2018 #VoteRed #WalkAway #OldManStoneZone;"1023289234252353537";https://twitter.com/OldManStoneZone/status/1023289234252353537;1
realJediMan;2018-07-28 15:19;77;103;"Hey @TheDemocrats keep up with your #AbolishICE garbage and keep @Ocasio2018 on the campaign trail. You’re helping the #RedTsunami grow even bigger. #WalkAway";;@TheDemocrats @Ocasio2018;#AbolishICE #RedTsunami #WalkAway;"1023286837425655808";https://twitter.com/realJediMan/status/1023286837425655808;0
BlokkiMedia;2018-07-28 15:12;97;133;"How can anyone support these lunatics? Time to just walkaway. #qanon #WalkAway #WalkAwayMovement #WalkAwayFromDemocrats pic.twitter.com/VT8iPVezxS";;;#qanon #WalkAway #WalkAwayMovement #WalkAwayFromDemocrats;"1023285013171904513";https://twitter.com/BlokkiMedia/status/1023285013171904513;0
RodStryker;2018-07-28 15:03;1207;1359;"Liberals, It's past time to #WalkAway ... When your Democrat run city prioritizes locking people up for plastic straws, but is totally negligent about folks taking a dump on the streets & shooting up heroin, leaving their dirty needles around for the kiddos to play with. SMDH pic.twitter.com/dHrEzMwpUF";;;#WalkAway;"1023282889520283648";https://twitter.com/RodStryker/status/1023282889520283648;0
SavingAmerica4U;2018-07-28 14:58;24;40;"The Left: OMG she's using a straw and eating Chick-fil-A. The world is ending, blah, blah blah.. #walkaway https:// twitter.com/LADowd/status/ 1023278087839141888 …";;;#walkaway;"1023281437418639360";https://twitter.com/SavingAmerica4U/status/1023281437418639360;1
RedPillReport;2018-07-28 14:45;56;87;"Democrats are getting desperate! They are seeing the base they took for granted for decades fracture & #WalkAway . Black people, Latinos, gays, & middle class traditional democrats are fed up & leaving in droves. It’s no wonder they are pushing so hard for illegals to vote.";;;#WalkAway;"1023278330286669824";https://twitter.com/RedPillReport/status/1023278330286669824;0
LADowd;2018-07-28 14:44;212;1210;"Hate me twice, Lefties. #WalkAway pic.twitter.com/DJxev511CV";;;#WalkAway;"1023278087839141888";https://twitter.com/LADowd/status/1023278087839141888;0
fit4aqueen3;2018-07-28 14:41;112;146;"So because your experience supersedes our @POTUS leadership, MILLIONS of out of work blue collars, who are now working under Trump and his 4.1% GDP, must surely be invalidated? So you hate this president? We know why! #WalkAway and help #MAGA #JoinUs Nothing but GOOD for USA pic.twitter.com/DabOD2Jb7v";;@POTUS;#WalkAway #MAGA #JoinUs;"1023277348471361537";https://twitter.com/fit4aqueen3/status/1023277348471361537;0
RR2A11;2018-07-28 14:35;225;423;"Reality will hit snowflake college students smack in the face one day! That is, if mommy and daddy will kick them out of the basement!! #TheRainMakers #MAGA #GoodbyeDemocrats #WalkAway pic.twitter.com/fV4RzIFZ6Q";;;#TheRainMakers #MAGA #GoodbyeDemocrats #WalkAway;"1023275748575125511";https://twitter.com/RR2A11/status/1023275748575125511;0
bonniemurphy;2018-07-28 14:28;344;353;"Hollywood and #MSM have failed our country- it’s beyond time to find new resources! How does an individual who has over 30 accusers of #sexualassault chair a non-profit for the #Metoo Moment? For the love of God - #WalkAway - this is t so we are! https:// twitter.com/RonanFarrow/st atus/1022961055541219329 …";;;#MSM #sexualassault #Metoo #WalkAway;"1023274106354114560";https://twitter.com/bonniemurphy/status/1023274106354114560;1
ETrumpgirl;2018-07-28 14:28;83;129;"Go watch Trump vids from several decades, he has #consistency ! Unlike like Hillary who called blacks "super predators" in the past, and now brags she "carries hot sauce in her purse" #WalkAway";;;#consistency #WalkAway;"1023273959633117184";https://twitter.com/ETrumpgirl/status/1023273959633117184;0
realBradfordM;2018-07-28 14:20;141;154;"Q1742 Follow the Family They have infiltrated every senior critical position. #QAnon #WWG1WGA #QArmy @realDonaldTrump #WalkAway #WhiteHats #MAGA #TheGreatAwakening pic.twitter.com/uIgI2m5vlr";;@realDonaldTrump;#QAnon #WWG1WGA #QArmy #WalkAway #WhiteHats #MAGA #TheGreatAwakening;"1023271947835125760";https://twitter.com/realBradfordM/status/1023271947835125760;0
usminority;2018-07-28 14:18;664;1374;"The Democratic Party loves to recruit America’s youth by appealing to burgeoning emotions, free from logic. Not all youngsters fall for it. And even the young are sensing that something is wrong and making the #WalkAway . So proud of this smart young lady who emailed me! pic.twitter.com/JEdbFfiUr8";;;#WalkAway;"1023271411069210624";https://twitter.com/usminority/status/1023271411069210624;0
hidehunt1;2018-07-28 14:06;91;105;"They wanna censor us because they are scared little chicken shits. What are they afraid of? Exposing the pedo, corruption, lying, evilness that IS Deep State & Democratic Party. Research what your candidate is worth right now vs. their salary. Should help wake you up #WalkAway pic.twitter.com/szXS8jOMsr";;;#WalkAway;"1023268598163406848";https://twitter.com/hidehunt1/status/1023268598163406848;0
