username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;retweetornot
MysticLady9160;2018-06-18 19:58;0;0;"So you are pissed off now because Trump won't get out his pen and his phone and demand congress change the laws? Yeah, sit down, clown. I'm still a registered dem and I don't like establishment republicans or anyone obstructing Trump. #WalkAway is a movement you should ck out";;;#WalkAway;"1008861444333555713";https://twitter.com/MysticLady9160/status/1008861444333555713;0
sarasodeb_deb;2018-06-18 19:52;0;0;"@thecjpearson #WalkAway";;@thecjpearson;#WalkAway;"1008860026579050496";https://twitter.com/sarasodeb_deb/status/1008860026579050496;0
sarasodeb_deb;2018-06-18 19:51;0;0;"@RealCandaceO #WalkAway";;@RealCandaceO;#WalkAway;"1008859782944567301";https://twitter.com/sarasodeb_deb/status/1008859782944567301;0
mis_harper;2018-06-18 19:47;0;1;"#WalkAway Give it a quick listen. https://www. waynedupree.com/hes-leaving-th e-democratic-party/ …";;;#WalkAway;"1008858898743382016";https://twitter.com/mis_harper/status/1008858898743382016;0
BeeBeeBeeLeaves;2018-06-18 19:14;1;2;"The Audacity of a Hopeless Case. Queen of Eugenics abortion speaks about little children. Wasn't Bill Clinton president when the law became law? #WalkAway from #EvilHypocrites #FreeThinkers pic.twitter.com/2qtUN1coad";;;#WalkAway #EvilHypocrites #FreeThinkers;"1008850385115594753";https://twitter.com/BeeBeeBeeLeaves/status/1008850385115594753;0
Leah40043479;2018-06-18 18:03;0;1;"Its pretty pathetic you're attacking a teenager. #WalkAway https://www. facebook.com/usminority/vid eos/486555651765405/ …";;;#WalkAway;"1008832696280158208";https://twitter.com/Leah40043479/status/1008832696280158208;0
Leah40043479;2018-06-18 18:00;0;0;"#WalkAway https://www. facebook.com/usminority/vid eos/486555651765405/ … This is how many of us Woke up!!! We're done.We see the truth. No Blue Waves for decades of ever #WalkAway";;;#WalkAway #WalkAway;"1008831816248070144";https://twitter.com/Leah40043479/status/1008831816248070144;0
Leah40043479;2018-06-18 17:58;0;0;"#WalkAway https://www. facebook.com/usminority/vid eos/486555651765405/ …";;;#WalkAway;"1008831408213594112";https://twitter.com/Leah40043479/status/1008831408213594112;0
The_slow_divide;2018-06-18 17:47;0;1;"Butt of the joke again #walkaway";;;#walkaway;"1008828650026881024";https://twitter.com/The_slow_divide/status/1008828650026881024;0
stubbylegs;2018-06-18 17:09;0;0;"#WalkAway Campaign- WHY I LEFT LIBERALISM & THE DEMOCRATIC PARTY https:// youtu.be/4Pjs7uoOkag via @YouTube";;@YouTube;#WalkAway;"1008818949021208576";https://twitter.com/stubbylegs/status/1008818949021208576;0
tonyrivera;2018-06-18 17:08;0;0;"#WalkAway pic.twitter.com/i9PuPDIFK8";;;#WalkAway;"1008818706015608832";https://twitter.com/tonyrivera/status/1008818706015608832;0
tonyrivera;2018-06-18 17:07;0;0;"#WalkAway pic.twitter.com/3wXmaGZxBc";;;#WalkAway;"1008818625170423808";https://twitter.com/tonyrivera/status/1008818625170423808;0
TopInfoBlogs;2018-06-18 16:35;0;1;"Appalling!! Oh my.... #WalkAway pic.twitter.com/jRvwbJcvF2";;;#WalkAway;"1008810371853967361";https://twitter.com/TopInfoBlogs/status/1008810371853967361;0
MassachuSASS;2018-06-18 16:33;0;0;"You’re doing the lord’s work. Keep it up! #MAGA #WalkAway";;;#MAGA #WalkAway;"1008810068811440128";https://twitter.com/MassachuSASS/status/1008810068811440128;0
TopInfoBlogs;2018-06-18 16:12;0;0;"This is only for Democrats who don't fit into THIS GROUP of people.... The sane ones. #WalkAway pic.twitter.com/CU5MJcXiXr";;;#WalkAway;"1008804784210448384";https://twitter.com/TopInfoBlogs/status/1008804784210448384;0
