username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;retweetornot
mrsglucas;2018-06-07 19:58;0;1;"#LovehisReaction #hesaidhedontknow #whataboutdontknowdotheynotunderstand #droptheMIC #WalkAway #WTGLebron https://www. facebook.com/mrsglucas/post s/10216343477680562 …";;;#LovehisReaction #hesaidhedontknow #whataboutdontknowdotheynotunderstand #droptheMIC #WalkAway #WTGLebron;"1004875221575356422";https://twitter.com/mrsglucas/status/1004875221575356422;0
LinkedLA;2018-06-07 19:34;64;165;"Many are leaving the left, there is the @usminority and his #WalkAway initiative, I like it a lot.";;@usminority;#WalkAway;"1004869268100583426";https://twitter.com/LinkedLA/status/1004869268100583426;0
KriefLinda;2018-06-07 19:02;0;0;"Dershowitz breaks down leaked details of IG draft https:// youtu.be/VHvBYG5-DDE via @YouTube I love our "Law and Order" President. Justice for all! #walkaway #IBOR #savethechildren #MAGA";;@YouTube;#walkaway #IBOR #savethechildren #MAGA;"1004861160880066565";https://twitter.com/KriefLinda/status/1004861160880066565;0
AlexanderLJones;2018-06-07 18:13;0;1;"David Davis & Bojo...please do feel free to actually resign...despite your pumped up egos, you will not be missed! Your exit would be positively encouraged in fact. #gammon #disaster #brexit #liars #350m #350nhs #createchaos #walkaway";;;#gammon #disaster #brexit #liars #350m #350nhs #createchaos #walkaway;"1004848763603767297";https://twitter.com/AlexanderLJones/status/1004848763603767297;0
BonnieErica;2018-06-07 18:01;0;0;"After 9 o’clock I just crave sweets and chocolate #WalkAway";;;#WalkAway;"1004845882293080066";https://twitter.com/BonnieErica/status/1004845882293080066;0
BreakUpRcvy;2018-06-07 16:19;0;1;"#conflict doesn't live without your participation #walkaway #notworthit #moveon";;;#conflict #walkaway #notworthit #moveon;"1004820130428116992";https://twitter.com/BreakUpRcvy/status/1004820130428116992;0
mylifewith_cp;2018-06-07 15:16;0;0;"What did they tell you to believe? … http://myli fewithcp.healthandsuccesswithbarb.com/?read=http%3A% 2F%2Fbabe%2Delder.blogspot.com%2F2018%2F06%2Fwhat%2Ddid%2Dthey%2Dtell%2Dyou%2Dto%2Dbelieve.html … #walkaway";;;#walkaway;"1004804356317868032";https://twitter.com/mylifewith_cp/status/1004804356317868032;0
jinger825;2018-06-07 15:05;14;31;"#WalkAway from every attempt to divide us!!!";;;#WalkAway;"1004801448260009986";https://twitter.com/jinger825/status/1004801448260009986;0
jstWalkAway;2018-06-07 13:41;0;1;"#WalkAway";;;#WalkAway;"1004780352077025281";https://twitter.com/jstWalkAway/status/1004780352077025281;0
colin_huse;2018-06-07 13:41;0;1;"Lunch break things #lasvegas #lasvegasstrip #freelance #cabowabo #walkaway #onourown pic.twitter.com/FYrtgBLKq7";;;#lasvegas #lasvegasstrip #freelance #cabowabo #walkaway #onourown;"1004780334070693888";https://twitter.com/colin_huse/status/1004780334070693888;0
CommieforniaMag;2018-06-07 12:21;0;0;"Today I’m kicking off the #WalkAway campaign by releasing my video about why I am walking away from liberalism and the Democratic Party. It is my sincere hope that you will join me in this campaign. https:// youtu.be/4Pjs7uoOkag #liberal #democrat #LGBT #gay #WalkAway #BLM #Trump";;;#WalkAway #liberal #democrat #LGBT #gay #WalkAway #BLM #Trump;"1004760373059149824";https://twitter.com/CommieforniaMag/status/1004760373059149824;0
JacobsLifeCoach;2018-06-07 11:22;1;1;"Let it go or it will drag you down. http://www. johnjacobscoaching.com #life #lifecoach #lifecoaching #letitgo #mistakes #lessonlearned #lessons #behappy #happiness #succeed #success #mentor #mentoring #motivation #inspiration #thursdaythoughts #motivated #goals #walkaway #quotestoliveby pic.twitter.com/3PQ3kNYozf";;;#life #lifecoach #lifecoaching #letitgo #mistakes #lessonlearned #lessons #behappy #happiness #succeed #success #mentor #mentoring #motivation #inspiration #thursdaythoughts #motivated #goals #walkaway #quotestoliveby;"1004745301662552072";https://twitter.com/JacobsLifeCoach/status/1004745301662552072;0
white_mgtow;2018-06-07 11:16;0;0;"About time men #walkaway from the #independent women that don't need #men . #MGTOW #Liberty https:// twitter.com/ibbibby/status /1004406318915039232 …";;;#walkaway #independent #men #MGTOW #Liberty;"1004743853918674946";https://twitter.com/white_mgtow/status/1004743853918674946;0
